番号,項目,回答数（人）,回答数（％）
1,クレジットカード,2304 ,81.1 
2,交通系以外の電子マネー（WAON、nanaco、楽天Edy 等）,1112 ,39.2 
3,バーコード、QRコード決済（PayPay等）,2123 ,74.8 
4,交通系電子マネー（Suica 、PASMO 等）,1306 ,46.0 
5,スマホ決済（Apple Pay 、Google Pay等）,95 ,3.3 
6,デビットカード,92 ,3.2 
7,その他,7 ,0.2 
全体,,2840 ,
,,,
