ランク,1991年(都市),1991年・取扱量(万TEU),2007年(都市),2007年・取扱量(万TEU),2008年(都市),2008年・取扱量(万TEU),2009年(都市),2009年・取扱量(万TEU),2010年(都市),2010年・取扱量(万TEU),2011年(都市),2011年・取扱量(万TEU)
1,シンガポール,635,シンガポール,2793,シンガポール,2991,シンガポール,2587,上海,2907,上海,3151
2,香港,616,上海,2615,上海,2798,上海,2500,シンガポール,2843,シンガポール,2994
3,高雄,391,香港,2399,香港,2449,香港,2098,香港,2353,香港,2440
4,ロッテルダム,377,深セン,2109,深セン,2141,深セン,1825,深セン,2251,深セン,2257
5,釜山,269,釜山,1326,釜山,1345,釜山,1195,釜山,1416,釜山,1616
6,神戸,264,ロッテルダム,1079,ドバイ,1182,広州,1119,寧波,1314,寧波,1469
7,ハンブルグ,219,ドバイ,1065,寧波,1122,ドバイ,1112,広州,1255,広州,1440
8,ロサンゼルス,204,高雄,1025,広州,1100,寧波,1050,青島,1201,青島,1302
9,基隆,201,ハンブルグ,989,ロッテルダム,1080,青島,1026,ドバイ,1160,ドバイ,1300
10,ニューヨーク,187,青島,946,青島,1032,ロッテルダム,974,ロッテルダム,1115,ロッテルダム,1190
11,,,,,,,,,,,,
12,東京,178,,,,,,,,,,
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,,,,,,,,,,,,
16,,,,,,,,,,,,
17,,,,,,,,,,,,
18,,,,,,,,,,,,
19,,,,,,,,,,,,
20,,,,,,,,,,,,
21,,,,,,,,,,,,
22,,,,,,,,,,,,
23,,,東京,413,,,,,,,,
24,,,,,東京,416,,,,,,
25,,,,,,,東京,381,,,,
26,,,,,,,,,,,,
27,,,,,,,,,東京,420,東京,455
