番号,項目,回答数（人）,回答数（％）
1,200万未満,9728,21.0
2,200～400万未満,11716,25.3
3,400～600万未満,7406,16.0
4,600～800万未満,4001,8.6
5,800～1000万未満,2351,5.1
6,1000～1200万未満,1219,2.6
7,1200～1500万未満,751,1.6
8,1500～2000万未満,481,1.0
9,2000万円以上,307,0.7
10,わからない,5791,12.5
11,無回答,2553,5.5
全体,,46304,100
