,岩手県都内避難者人数,宮城県都内避難者人数,福島県都内避難者人数,その他都内避難者人数,総数都内避難者人数
千代田区,0,0,21,0,21
中央区,1,10,23,14,48
港区,3,4,25,3,35
新宿区,2,1,47,0,50
文京区,2,5,59,3,69
台東区,0,3,36,2,41
墨田区,2,5,24,0,31
江東区,6,6,164,1,177
品川区,1,3,24,0,28
目黒区,0,3,20,3,26
大田区,1,0,70,0,71
世田谷区,11,16,109,7,143
渋谷区,2,5,30,1,38
中野区,4,25,86,6,121
杉並区,0,2,10,0,12
豊島区,12,25,61,2,100
北区,1,17,55,2,75
荒川区,2,5,52,0,59
板橋区,5,13,69,1,88
練馬区,3,23,106,0,132
足立区,4,24,152,0,180
葛飾区,2,18,25,0,45
江戸川区,1,9,72,4,86
八王子市,4,24,123,2,153
立川市,0,3,36,1,40
武蔵野市,0,7,60,1,68
三鷹市,0,7,35,0,42
青梅市,0,0,23,0,23
府中市,0,9,55,0,64
昭島市,1,3,17,0,21
調布市,0,2,29,0,31
町田市,4,26,113,10,153
小金井市,0,2,23,0,25
小平市,6,1,28,3,38
日野市,7,4,56,4,71
東村山市,3,8,30,0,41
国分寺市,3,7,29,0,39
国立市,0,3,19,0,22
福生市,1,4,11,0,16
狛江市,0,5,10,0,15
東大和市,2,4,20,0,26
清瀬市,1,4,40,5,50
東久留米市,0,3,33,1,37
武蔵村山市,0,0,19,0,19
多摩市,3,8,18,0,29
稲城市,4,5,27,1,37
羽村市,2,3,18,0,23
あきる野市,0,2,9,4,15
西東京市,2,15,83,0,100
瑞穂町,1,0,15,0,16
日の出町,0,0,2,0,2
檜原村,0,0,0,0,0
奥多摩町,0,0,0,0,0
大島町,0,0,0,0,0
利島村,0,0,0,0,0
新島村,0,0,0,0,0
神津島村,0,0,0,0,0
三宅村,0,0,0,0,0
御蔵島村,0,0,0,0,0
八丈町,0,0,0,0,0
青ヶ島村,0,0,0,0,0
小笠原村,0,0,0,0,0
合計,109,381,"2,321",81,"2,892"
