区市町村コード,区市町村,冬夕、風速8m/s、食料（～3日目）（万食）,冬夕、風速8m/s、食料（4～7日目）（万食）,冬夕、風速8m/s、飲料水（～3日目）（万L）,冬夕、風速8m/s、飲料水（4～7日目）（万L）,冬夕、風速8m/s、毛布（必要量）（万枚）,冬昼、風速8m/s、食料（～3日目）（万食）,冬昼、風速8m/s、食料（4～7日目）（万食）,冬昼、風速8m/s、飲料水（～3日目）（万L）,冬昼、風速8m/s、飲料水（4～7日目）（万L）,冬昼、風速8m/s、毛布（必要量）（万枚）,冬早朝、風速8m/s、食料（～3日目）（万食）,冬早朝、風速8m/s、食料（4～7日目）（万食）,冬早朝、風速8m/s、飲料水（～3日目）（万L）,冬早朝、風速8m/s、飲料水（4～7日目）（万L）,冬早朝、風速8m/s、毛布（必要量）（万枚）,冬夕、風速4m/s、食料（～3日目）（万食）,冬夕、風速4m/s、食料（4～7日目）（万食）,冬夕、風速4m/s、飲料水（～3日目）（万L）,冬夕、風速4m/s、飲料水（4～7日目）（万L）,冬夕、風速4m/s、毛布（必要量）（万枚）,冬昼、風速4m/s、食料（～3日目）（万食）,冬昼、風速4m/s、食料（4～7日目）（万食）,冬昼、風速4m/s、飲料水（～3日目）（万L）,冬昼、風速4m/s、飲料水（4～7日目）（万L）,冬昼、風速4m/s、毛布（必要量）（万枚）,冬早朝、風速4m/s、食料（～3日目）（万食）,冬早朝、風速4m/s、食料（4～7日目）（万食）,冬早朝、風速4m/s、飲料水（～3日目）（万L）,冬早朝、風速4m/s、飲料水（4～7日目）（万L）,冬早朝、風速4m/s、毛布（必要量）（万枚）
13101,千代田区,2,8,4,11,2,2,8,4,11,2,2,8,4,11,2,2,8,4,11,2,2,8,4,11,2,2,8,4,11,2
13102,中央区,6,22,9,26,4,6,22,9,26,4,6,22,9,26,4,6,22,9,26,4,6,22,9,26,4,6,22,9,26,4
13103,港区,7,24,10,29,5,7,24,10,29,5,7,24,10,29,5,7,24,10,29,5,7,24,10,29,5,7,24,10,29,5
13104,新宿区,11,32,13,38,6,11,32,13,38,6,11,32,13,38,6,11,32,13,38,6,11,32,13,38,6,11,32,13,38,6
13105,文京区,9,28,14,39,5,8,28,14,39,5,8,28,14,39,5,8,28,14,39,5,8,28,14,39,5,8,28,14,39,5
13106,台東区,16,44,22,56,8,15,43,22,56,8,15,43,22,56,8,16,44,22,56,8,15,43,22,56,8,15,43,22,56,8
13107,墨田区,33,73,33,76,13,28,68,32,76,12,28,67,32,76,12,33,73,33,76,13,28,68,32,76,12,28,67,32,76,12
13108,江東区,39,101,43,110,18,38,100,43,110,18,38,100,43,110,18,39,101,43,110,18,38,100,43,110,18,38,100,43,110,18
13109,品川区,25,59,21,55,11,23,56,20,55,10,21,54,20,55,10,24,58,21,55,10,22,55,20,55,10,21,54,20,55,10
13110,目黒区,14,33,12,32,6,12,31,12,32,6,12,30,12,32,5,14,33,12,32,6,12,30,12,32,6,12,30,12,32,5
13111,大田区,41,121,60,163,22,38,116,60,163,22,37,115,59,162,22,40,119,60,163,22,37,115,59,163,22,36,114,59,162,21
13112,世田谷区,90,177,52,124,30,52,123,46,122,22,50,120,45,122,22,87,172,51,124,30,51,121,46,122,22,50,119,45,122,21
13113,渋谷区,10,31,15,40,6,10,31,14,40,6,10,31,14,40,6,10,31,15,40,6,10,31,14,40,6,10,31,14,40,6
13114,中野区,15,36,13,36,6,13,33,13,36,6,13,33,13,36,6,15,36,13,36,6,13,33,13,36,6,13,33,13,36,6
13115,杉並区,50,96,25,61,16,38,78,23,60,14,35,74,23,60,13,50,95,25,61,16,38,78,23,60,14,35,74,23,60,13
13116,豊島区,13,35,14,39,6,12,33,14,39,6,12,33,14,39,6,13,34,14,39,6,12,33,14,39,6,11,32,14,39,6
13117,北区,23,57,23,61,10,22,56,23,61,10,22,56,23,61,10,23,57,23,61,10,22,56,23,61,10,22,56,23,61,10
13118,荒川区,28,60,26,58,10,26,58,25,58,10,26,57,25,58,10,28,60,26,58,10,26,58,25,58,10,26,57,25,58,10
13119,板橋区,26,72,31,85,13,25,70,31,85,13,24,69,31,85,13,26,72,31,85,13,24,69,31,85,13,24,69,31,85,13
13120,練馬区,51,101,25,65,17,33,75,24,65,13,31,71,23,65,13,50,100,25,65,17,33,74,24,65,13,31,71,23,65,13
13121,足立区,88,192,88,199,34,67,165,81,196,30,66,163,81,196,29,87,191,88,199,34,67,164,81,196,30,66,163,81,196,29
13122,葛飾区,33,104,60,156,19,29,98,58,155,19,28,97,58,155,18,33,102,60,156,19,28,97,58,155,18,28,97,58,155,18
13123,江戸川区,27,90,46,130,17,25,87,46,130,17,24,86,45,130,17,26,89,46,130,17,25,87,45,130,17,24,86,45,130,16
13201,八王子市,26,64,27,50,11,23,60,27,50,11,22,59,26,50,11,25,63,27,50,11,23,59,26,50,11,22,58,26,50,11
13202,立川市,5,13,5,9,2,5,12,5,9,2,5,12,5,9,2,5,13,5,9,2,5,12,5,9,2,5,12,5,9,2
13203,武蔵野市,10,23,10,18,4,7,19,10,18,3,6,18,9,18,3,10,23,10,18,4,6,19,10,18,3,6,18,9,18,3
13204,三鷹市,10,23,8,15,4,8,20,8,15,4,8,19,8,15,3,10,22,8,15,4,8,20,8,15,4,8,19,8,15,3
