区市町村名,全面積・A（km2）,市街地面積・B（km2）,実施予定面積・C（km2）,実施済面積・D（km2）,全面積における割合・D/A+100（%）,市街地面積における割合・D/B*100（%）,市街地面積における割合（含予定）・(C+D)/B*100（%）
千代田区,11.66,11.66,3.02,8.64,74.06,74.06,100
中央区,10.21,10.21,0,10.21,100,100,100
港区,20.37,20.37,0.06,20.31,99.71,99.71,100
新宿区,18.22,18.22,4.53,13.69,75.13,75.13,100
文京区,11.29,11.29,0,11.29,100,100,100
台東区,10.11,10.11,0,10.11,100,100,100
墨田区,13.77,13.77,0,13.77,100,100,100
江東区,40.16,40.16,0,40.16,100,100,100
品川区,22.84,22.84,0,22.84,100,100,100
目黒区,14.67,14.67,0,14.67,100,100,100
大田区,60.66,60.66,1.1,59.56,98.18,98.18,100
世田谷区,58.05,58.05,0,58.05,100,100,100
渋谷区,15.11,15.11,0,15.11,100,100,100
中野区,15.59,15.59,0,15.59,100,100,100
杉並区,34.06,34.06,0,34.06,100,100,100
豊島区,13.01,13.01,0,13.01,100,100,100
北区,20.61,20.61,0,20.61,100,100,100
荒川区,10.16,10.16,0,10.16,100,100,100
板橋区,32.22,32.22,0,32.22,100,100,100
練馬区,48.08,48.08,0,48.08,100,100,100
足立区,53.25,53.25,0.81,52.44,98.48,98.48,100
葛飾区,34.8,34.8,0,34.8,100,100,100
江戸川区,49.09,49.09,4.28,44.81,91.28,91.28,100
,,,,,,,
八王子市,186.31,20.41,2.03,18.38,9.87,90.05,100
立川市,24.38,7.08,0,6.89,28.28,97.35,97.35
武蔵野市,10.98,10.98,0,10.98,100,100,100
三鷹市,16.42,16.42,0,16.42,100,100,100
青梅市,－,－,－,－,－,－,－
府中市,－,－,－,－,－,－,－
昭島市,17.34,17.34,3.42,13.91,80.22,80.22,99.94
調布市,－,－,－,－,－,－,－
町田市,71.8,17.2,2.18,15.02,20.92,87.33,100
小金井市,11.3,11.3,0,11.3,100,100,100
小平市,20.51,14.83,1.31,13.52,65.92,91.17,100
日野市,－,－,－,－,－,－,－
東村山市,－,－,－,－,－,－,－
国分寺市,11.46,3.46,0,3.46,30.19,100,100
国立市,－,－,－,－,－,－,－
福生市,－,－,－,－,－,－,－
狛江市,6.39,5.78,0,5.78,90.45,100,100
東大和市,－,－,－,－,－,－,－
清瀬市,10.23,3.42,0,3.42,33.43,100,100
東久留米市,12.88,12.88,0,12.88,100,100,100
武蔵村山市,－,－,－,－,－,－,－
多摩市,－,－,－,－,－,－,－
稲城市,－,－,－,－,－,－,－
羽村市,9.9,2.44,0,2.44,24.65,100,100
あきる野市,－,－,－,－,－,－,－
西東京市,15.75,15.75,0,15.75,100,100,100
瑞穂町,－,－,－,－,－,－,－
日の出町,－,－,－,－,－,－,－
檜原村,－,－,－,－,－,－,－
奥多摩町,－,－,－,－,－,－,－
大島町,－,－,－,－,－,－,－
利島村,－,－,－,－,－,－,－
新島村,27.83,1.01,0,1.01,3.63,100,100
神津島村,－,－,－,－,－,－,－
三宅村,－,－,－,－,－,－,－
御蔵島村,－,－,－,－,－,－,－
八丈町,－,－,－,－,－,－,－
青ヶ島村,－,－,－,－,－,－,－
小笠原村,－,－,－,－,－,－,－
