番号,項目,回答数（人）,回答数（％）
1,10代,1,0.1
2,20代,32,2.1
3,30代,175,11.3
4,40代,411,26.6
5,50代,529,34.2
6,60代,257,16.6
7,70代以上,140,9.1
全体,,1545,100
