町村名（島名）,早朝、負傷者数（計）,早朝、負傷者数（揺れ）,早朝、負傷者数（屋内収容物）,早朝、負傷者数（急傾斜地崩壊）,早朝、負傷者数（屋外落下物）,早朝、負傷者数（火災）,早朝、負傷者数（津波）,昼、負傷者数（計）,昼、負傷者数（揺れ）,昼、負傷者数（屋内収容物）,昼、負傷者数（急傾斜地崩壊）,昼、負傷者数（屋外落下物）,昼、負傷者数（火災）,昼、負傷者数（津波）
大島町,5 ,4 ,0 ,0 ,0 ,0 ,0 ,5 ,4 ,0 ,0 ,0 ,0 ,0 
利島村,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
新島村（新島）,15 ,1 ,0 ,0 ,0 ,0 ,14 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
新島村（式根島）,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
神津島村,7 ,1 ,0 ,1 ,0 ,0 ,6 ,9 ,1 ,0 ,1 ,0 ,0 ,8 
三宅村,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
御蔵島村,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
八丈町,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
青ヶ島村,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
小笠原村（父島）,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
小笠原村（母島）,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
島しょ地域計,27 ,6 ,0 ,1 ,0 ,0 ,20 ,15 ,6 ,0 ,1 ,0 ,0 ,8 
