,家人・知人・家政婦等,隣人・管理人,保健・福祉,警察官,配達人,その他,合計
1989年,222,133,21,19,4,34,433
1990年,270,130,31,23,7,37,498
1991年,317,142,41,25,8,41,574
1992年,340,149,39,21,6,51,606
1993年,377,175,54,29,10,45,690
1994年,387,211,75,37,12,53,775
1995年,451,250,51,41,13,66,872
1996年,454,213,70,40,12,29,818
1997年,487,266,78,29,8,34,902
1998年,573,269,105,41,22,41,1051
1999年,640,368,115,43,27,50,1243
2000年,667,280,126,44,20,82,1219
2001年,694,357,152,40,19,63,1325
2002年,698,366,144,59,24,73,1364
2003年,740,365,203,69,19,55,1451
2004年,787,434,232,94,28,94,1669
2005年,889,467,243,136,32,93,1860
2006年,886,459,270,158,35,84,1892
2007年,1061,660,387,103,50,100,2361
2008年,1018,628,371,26,63,105,2211
2009年,1034,645,386,31,51,47,2194
2010年,1361,851,494,31,101,75,2913
