,2010年,2015年,2020年,2025年,2030年,2035年,2040年,2045年,2050年,2055年,2060年,2065年,2070年,2075年,2080年,2085年,2090年,2095年,2100年
単身世帯(20歳未満),50,46,41,35,28,25,25,24,24,23,23,22,21,20,19,18,17,16,16
単身世帯(20～24),381,341,305,260,229,210,210,202,191,186,187,183,176,168,161,154,147,140,133
単身世帯(25～29),626,509,470,425,370,334,346,334,318,301,291,291,283,272,258,246,235,223,212
単身世帯(30～34),585,473,381,347,311,276,280,282,269,254,240,231,231,224,214,202,192,183,173
単身世帯(35～39),744,571,453,356,322,295,293,289,288,273,257,242,233,232,223,212,200,190,181
単身世帯(40～44),681,756,579,454,360,343,352,341,334,331,311,291,274,263,261,251,238,223,212
単身世帯(45～49),747,896,1025,807,657,554,586,587,566,552,545,509,476,448,429,424,406,384,361
単身世帯(50～54),759,812,960,1077,854,723,679,699,698,671,653,642,598,558,524,502,494,473,447
単身世帯(55～59),1053,888,966,1141,1307,1027,966,885,908,905,869,843,828,769,717,673,643,633,605
単身世帯(60～64),1133,961,810,861,1010,1088,946,871,799,817,815,782,759,745,692,645,606,580,569
単身世帯(65～69),953,1266,1127,944,1055,1165,1087,927,852,782,798,798,765,742,728,676,630,592,566
単身世帯(70～74),873,1077,1354,1123,968,949,1068,989,844,778,715,727,730,699,679,667,620,579,545
単身世帯(75～79),902,872,993,1236,1019,810,771,856,776,664,613,565,571,577,552,538,529,493,461
単身世帯(80～84),718,776,746,899,1043,853,601,656,725,653,560,517,478,482,489,468,457,449,419
単身世帯(85歳以上),552,735,887,1042,1173,1365,1259,1241,1275,1350,1378,1357,1326,1288,1265,1257,1242,1229,1217
核家族世帯(20歳未満),4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
核家族世帯(20～24),128,146,150,147,137,126,118,113,108,104,106,103,100,95,91,87,83,79,75
核家族世帯(25～29),494,415,415,386,352,319,311,301,286,271,262,265,258,247,235,224,213,203,192
核家族世帯(30～34),1077,933,809,809,756,676,643,647,618,584,552,532,534,516,493,466,443,422,400
核家族世帯(35～39),1644,1294,1121,954,936,858,802,790,789,747,703,663,637,636,612,582,549,521,495
核家族世帯(40～44),1645,1734,1364,1155,970,929,892,865,847,840,789,739,695,667,663,636,603,567,537
核家族世帯(45～49),1526,1611,1700,1340,1123,950,947,945,912,889,878,820,766,720,689,683,654,618,580
核家族世帯(50～54),1589,1501,1580,1641,1285,1092,959,994,988,951,923,908,845,787,739,706,698,667,629
核家族世帯(55～59),2161,1705,1636,1722,1792,1411,1244,1138,1175,1164,1119,1083,1063,986,916,859,820,811,773
核家族世帯(60～64),2886,2082,1614,1502,1553,1676,1364,1255,1147,1184,1172,1126,1090,1069,991,920,863,823,814
核家族世帯(65～69),2492,2580,1958,1592,1527,1687,1560,1327,1219,1115,1150,1138,1093,1058,1036,960,892,836,798
核家族世帯(70～74),1898,2073,2272,1750,1377,1350,1498,1452,1237,1138,1042,1075,1065,1024,991,971,900,836,785
核家族世帯(75～79),1509,1513,1699,1832,1396,1154,1163,1351,1312,1121,1034,948,979,971,935,906,889,824,767
核家族世帯(80～84),906,997,1040,1180,1315,1070,873,925,1080,1056,907,840,773,800,797,769,747,734,682
核家族世帯(85歳以上),554,686,815,907,1043,1241,1245,1230,1268,1389,1474,1468,1443,1401,1395,1398,1392,1383,1376
その他世帯(20歳未満),3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
その他世帯(20～24),26,24,22,18,16,15,14,14,13,12,13,12,12,11,11,10,10,9,9
その他世帯(25～29),50,42,41,36,32,29,29,28,26,25,24,24,24,23,21,20,20,19,18
その他世帯(30～34),84,75,65,62,57,51,49,50,47,45,42,41,41,40,38,36,34,32,31
その他世帯(35～39),147,130,122,106,107,97,92,91,91,86,81,76,73,73,70,67,63,60,57
その他世帯(40～44),199,232,208,189,170,161,157,152,149,148,139,130,123,118,117,112,106,100,95
その他世帯(45～49),245,250,276,221,195,164,166,166,160,156,154,144,134,126,121,120,115,108,102
その他世帯(50～54),373,324,342,362,292,247,220,228,227,218,212,208,194,181,169,162,160,153,144
その他世帯(55～59),431,325,307,324,359,281,251,230,237,235,226,219,215,199,186,174,166,164,157
その他世帯(60～64),542,431,347,327,361,387,320,295,269,278,275,264,256,251,233,216,203,194,191
その他世帯(65～69),387,493,426,360,368,403,376,320,294,269,277,275,264,255,250,232,215,202,193
その他世帯(70～74),269,311,407,344,288,280,314,302,257,237,217,223,221,213,206,202,187,174,164
その他世帯(75～79),210,186,209,245,198,163,167,193,187,160,147,135,139,138,133,129,127,117,109
その他世帯(80～84),189,176,170,190,233,189,155,165,191,185,159,147,136,140,140,135,131,129,120
その他世帯(85歳以上),122,147,170,184,218,258,263,259,267,292,310,309,303,294,293,294,292,290,289
