X（m）,Y（m）,経度（度）,緯度（度）,浸水深（最大）（m）
-6995,-391135,139.75891437,32.47356139,9.5859
-6985,-391135,139.75902076,32.47356146,9.3797
-6975,-391135,139.75912714,32.47356152,9.2772
-7015,-391145,139.75870166,32.47347108,10.8508
-7005,-391145,139.75880805,32.47347115,9.8322
-6995,-391145,139.75891444,32.47347121,8.3217
-6985,-391145,139.75902083,32.47347127,4.9616
-6975,-391145,139.75912722,32.47347133,5.7009
-7035,-391155,139.75848896,32.47338077,9.7867
-7025,-391155,139.75859535,32.47338083,9.6735
-7015,-391155,139.75870174,32.47338090,8.4566
-7005,-391155,139.75880813,32.47338096,5.5882
-6995,-391155,139.75891452,32.47338102,2.4284
-6985,-391155,139.75902090,32.47338109,1.7305
-6975,-391155,139.75912729,32.47338115,2.4721
-6965,-391155,139.75923368,32.47338121,4.7810
-7055,-391165,139.75827626,32.47329046,6.0820
-7045,-391165,139.75838265,32.47329052,6.9918
-7035,-391165,139.75848904,32.47329059,5.0202
-7025,-391165,139.75859542,32.47329065,2.3649
-7015,-391165,139.75870181,32.47329071,2.4132
-6965,-391165,139.75923375,32.47329103,1.5734
-6955,-391165,139.75934014,32.47329109,3.7672
-6945,-391165,139.75944653,32.47329115,4.9470
-7035,-391175,139.75848911,32.47320040,0.0664
-6955,-391175,139.75934022,32.47320091,2.5267
-6945,-391175,139.75944661,32.47320097,2.2233
-6935,-391175,139.75955299,32.47320103,3.6560
-7095,-391185,139.75785086,32.47310984,13.6708
-6935,-391185,139.75955307,32.47311085,3.3033
-6925,-391185,139.75965946,32.47311091,5.5551
-7125,-391195,139.75753177,32.47301946,11.9450
-7115,-391195,139.75763816,32.47301953,13.3001
-7105,-391195,139.75774454,32.47301959,12.0525
-7095,-391195,139.75785093,32.47301965,0.2490
-6935,-391195,139.75955314,32.47302066,1.4888
-6925,-391195,139.75965953,32.47302072,4.6287
-6915,-391195,139.75976592,32.47302079,6.5982
-7175,-391205,139.75699990,32.47292896,12.5518
-7165,-391205,139.75710629,32.47292902,11.9612
-7155,-391205,139.75721268,32.47292908,11.8864
-7145,-391205,139.75731907,32.47292915,12.5762
-7135,-391205,139.75742545,32.47292921,11.5069
-7125,-391205,139.75753184,32.47292928,8.7903
-7115,-391205,139.75763823,32.47292934,5.6287
-6925,-391205,139.75965960,32.47293054,3.8208
-6915,-391205,139.75976599,32.47293060,4.7230
-6905,-391205,139.75987238,32.47293067,5.5139
-7205,-391215,139.75668082,32.47283858,11.8085
-7195,-391215,139.75678720,32.47283864,11.5800
-7185,-391215,139.75689359,32.47283871,11.4045
-7175,-391215,139.75699998,32.47283877,10.0873
-7165,-391215,139.75710637,32.47283884,9.1246
-7155,-391215,139.75721275,32.47283890,9.0135
-7145,-391215,139.75731914,32.47283896,7.8687
-7135,-391215,139.75742553,32.47283903,1.9225
-6915,-391215,139.75976606,32.47284042,1.6731
-6905,-391215,139.75987245,32.47284048,1.7200
-6895,-391215,139.75997884,32.47284054,4.0753
-6885,-391215,139.76008523,32.47284060,5.9082
-7205,-391225,139.75668089,32.47274839,10.6174
-7195,-391225,139.75678728,32.47274846,9.2087
-7185,-391225,139.75689367,32.47274852,8.3437
-7175,-391225,139.75700005,32.47274859,3.9405
-6895,-391225,139.75997891,32.47275036,1.5064
-6885,-391225,139.76008530,32.47275042,4.4023
-7215,-391235,139.75657458,32.47265814,9.8147
-7205,-391235,139.75668097,32.47265821,6.4350
-7195,-391235,139.75678736,32.47265827,0.4603
-6885,-391235,139.76008537,32.47266024,3.7229
-6875,-391235,139.76019176,32.47266030,5.8337
-6865,-391235,139.76029815,32.47266036,6.6068
-6885,-391245,139.76008545,32.47257005,2.2732
-6875,-391245,139.76019183,32.47257011,3.9494
-6865,-391245,139.76029822,32.47257018,5.1880
-6855,-391245,139.76040461,32.47257024,6.2696
-6855,-391255,139.76040468,32.47248005,4.1086
-6835,-391265,139.76061753,32.47238999,3.5115
-7275,-391275,139.75593656,32.47229702,3.5829
-7285,-391285,139.75583025,32.47220677,5.9900
-7295,-391295,139.75572394,32.47211652,6.4174
-6795,-391295,139.76104329,32.47211968,6.3318
-6785,-391295,139.76114968,32.47211975,7.7576
-7305,-391305,139.75561763,32.47202627,1.1220
-6795,-391305,139.76104337,32.47202950,1.8816
-6785,-391305,139.76114975,32.47202956,6.3092
-6775,-391305,139.76125614,32.47202962,7.6427
-7315,-391315,139.75551132,32.47193602,3.2360
-6785,-391315,139.76114983,32.47193938,4.4351
-6775,-391315,139.76125621,32.47193944,6.8186
-6765,-391315,139.76136260,32.47193950,7.5095
-6755,-391315,139.76146899,32.47193956,8.0656
-7315,-391325,139.75551140,32.47184583,5.2113
-6785,-391325,139.76114990,32.47184919,1.4860
-6775,-391325,139.76125628,32.47184925,5.4947
-6765,-391325,139.76136267,32.47184931,6.0427
