事業区分_1,事業区分_2,還元対象額・販売額（百万円）,うち消費者への還元額（百万円）
デジタル活用事業のみで実施,全体,65338,16449
デジタル活用事業のみで実施,ポイント還元方式（デジタル商品券方式併用含む）,62440,15687
デジタル活用事業のみで実施,デジタル商品券方式,2898,762
デジタル活用事業と紙商品券事業を併用実施,全体,12058,3237
デジタル活用事業と紙商品券事業を併用実施,ポイント還元方式と併用,8366,2049
デジタル活用事業と紙商品券事業を併用実施,デジタル商品券方式と併用,3692,1187
