番号,項目,令和3年度_回答数（人）,令和3年度_回答数（%）,令和4年度_回答数（人）,令和4年度_回答数（%）
1,10点,123,4.1,156,5.2
2,9点,273,9.2,221,7.4
3,8点,904,30.3,661,22.2
4,7点,774,26,656,22
5,6点,473,15.9,516,17.3
6,5点,286,9.6,290,9.7
7,4点,64,2.1,174,5.8
8,3点,48,1.6,174,5.8
9,2点,14,0.5,63,2.1
10,1点,22,0.7,69,2.3
全体,,2981,100,2980,100
