no,Q1,Q2,Q3_1,Q3_2,Q4_1,Q4_2,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q6,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8
1,2,4,17,3,15,1,0,1,1,1,0,1,0,0,1,1,0,0,2,4,3,1,,,,,,,,1,0,1,0,0,0,1,1,1,0,0,0,0,0
2,1,3,32,2,26,5,1,1,1,0,1,0,0,1,1,0,0,0,4,3,2,2,,,,,,,,1,0,0,0,0,0,0,1,1,0,0,0,0,0
3,1,3,21,2,20,3,0,1,1,1,1,1,0,1,1,1,0,0,1,3,3,1,,,,,,,,0,0,0,0,0,1,0,1,1,0,0,0,0,1
4,2,5,23,,92,40,1,1,0,0,0,0,1,1,1,0,0,0,4,1,1,2,,,,,,,,0,0,0,1,1,0,0,1,0,1,0,0,0,0
5,1,5,51,,32,22,1,1,1,1,1,0,1,1,1,0,0,0,4,1,1,2,,,,,,,,0,0,0,0,0,1,0,1,1,0,0,0,0,0
6,2,5,14,,8,3,1,1,1,0,0,0,1,1,1,0,1,0,4,1,4,2,,,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0
7,1,2,1,1,6,2,1,1,0,1,0,0,0,1,0,0,0,0,4,4,3,2,,,,,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,1
8,2,5,40,2,35,8,1,1,0,1,1,0,0,1,1,0,0,0,1,4,4,2,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0
9,2,3,15,2,7,4,1,0,0,0,0,0,0,1,0,0,0,0,4,2,1,1,,,,,,,,1,1,1,0,0,0,1,1,1,1,0,0,0,0
10,2,3,10,2,10,6,1,1,0,0,0,0,0,1,0,0,1,0,3,3,4,2,,,,,,,,1,0,0,0,1,0,1,1,1,1,0,0,0,1
