番号,項目,回答数（人）,回答数（％）
1,たいへん使いやすかった,16,5
2,使いやすかった,57,17.7
3,普通,185,57.5
4,やや使いにくかった,38,11.8
5,使いにくかった,26,8.1
全体,,322,100
