番号,項目,回答数,そう思う_回答数（人）,そう思う_回答数（%）,そう思わない_回答数（人）,そう思わない_回答数（%）
1,"多く消費した(n=1,283)",1283,909,70.8,374,29.2
2,少ししか消費してない(n=998),998,543,54.4,455,45.6
全体,,2980,,,,
