区名,基準財政収入額,基準財政需要額,内訳・経常的経費,内訳・投資的経費,普通交付金
千代田区,22655823 ,26657303 ,22131229 ,4526074 ,4001480 
中央区,28865991 ,41461524 ,34888585 ,6572939 ,12595533 
港区,66372956 ,55828944 ,46660419 ,9168525 ,0 
新宿区,47935649 ,73468719 ,63380791 ,10087928 ,25533070 
文京区,31368536 ,47498594 ,40550092 ,6948502 ,16130058 
台東区,22609340 ,49154397 ,41769712 ,7384685 ,26545057 
墨田区,26052793 ,63187345 ,53930309 ,9257036 ,37134552 
江東区,53071018 ,106116399 ,89917279 ,16199120 ,53045381 
品川区,48508301 ,84959764 ,72025369 ,12934395 ,36451463 
目黒区,41998445 ,54946489 ,46533819 ,8412670 ,12948044 
大田区,79687408 ,146438895 ,125305806 ,21133089 ,66751487 
世田谷区,116415483 ,157524864 ,132719962 ,24804902 ,41109381 
渋谷区,44722032 ,47897810 ,41426421 ,6471389 ,3175778 
中野区,35394982 ,69297966 ,60068386 ,9229580 ,33902984 
杉並区,66319269 ,102825383 ,87493601 ,15331782 ,36506114 
豊島区,33937739 ,60643548 ,51967783 ,8675765 ,26705809 
北区,31890284 ,77965569 ,67360013 ,10605556 ,46075285 
荒川区,19048507 ,55216508 ,47510258 ,7706250 ,36168001 
板橋区,51825627 ,115537464 ,99082641 ,16454823 ,63711837 
練馬区,72386946 ,150723910 ,126622213 ,24101697 ,78336964 
足立区,57032401 ,153930221 ,130939180 ,22991041 ,96897820 
葛飾区,39464427 ,107877122 ,91776494 ,16100628 ,68412695 
江戸川区,61205080 ,146963220 ,123046885 ,23916335 ,85758140 
計,1098769037 ,1996121958 ,1697107247 ,299014711 ,907896933 
