区市町村名,議長・氏名,議長・就任年月日,副議長・氏名,副議長・就任年月日,報酬月額・議長（円）,報酬月額・副議長（円）,報酬月額・議員（円）,報酬月額・適用年月日,減額措置後の報酬月額・議長（円）,減額措置後の報酬月額・副議長（円）,減額措置後の報酬月額・議員（円）,減額措置後の報酬月額・適用年月日,区分
八王子市,福安　徹,H27.5.19,小林　鈴子,H27.5.19,750000 ,680000 ,610000 ,H28.4.1,750000 ,680000 ,610000 ,適用なし,八
立川市,須﨑　八朗,H26.7.22,梅田　春生,H27.6.30,662000 ,599000 ,555000 ,H25.4.1,662000 ,599000 ,555000 ,適用なし,立
武蔵野市,深沢　達也,H27.5.20,小美濃　安弘,H27.5.20,670000 ,600000 ,550000 ,H8.9.1,670000 ,600000 ,550000 ,適用なし,武
三鷹市,後藤　貴光,H27.5.13,岩見　大三,H27.5.13,640000 ,580000 ,550000 ,H7.12.1,640000 ,580000 ,550000 ,適用なし,三
青梅市,山本　佳昭,H27.5.19,鴻井　伸二,H27.5.19,625000 ,560000 ,530000 ,H9.1.1,625000 ,560000 ,530000 ,適用なし,青
府中市,市川　一德,H27.5.11,西宮　幸一,H27.5.11,650000 ,570000 ,550000 ,H7.9.1,650000 ,570000 ,550000 ,適用なし,府
昭島市,杉本　英二,H27.5.19,稲垣　米子,H27.5.19,610000 ,550000 ,530000 ,H10.4.1,610000 ,550000 ,530000 ,適用なし,昭
調布市,鮎川　有祐,H27.6.12,橘　正俊,H27.6.12,640000 ,580000 ,550000 ,H7.12.1,640000 ,580000 ,550000 ,適用なし,調
町田市,佐藤　伸一郎,H28.2.25,殿村　健一,H28.2.26,640000 ,580000 ,550000 ,H9.1.1,640000 ,580000 ,550000 ,適用なし,町
小金井市,篠原　ひろし,H25.4.18,斎藤　康夫,H27.5.21,575000 ,520000 ,490000 ,H5.10.1,575000 ,520000 ,490000 ,適用なし,金
小平市,宮寺　賢一,H27.5.22,滝口　幸一,H27.5.22,650000 ,580000 ,550000 ,H8.4.1,650000 ,580000 ,550000 ,適用なし,平
日野市,西野　正人,H28.3.1,窪田　知子,H28.3.1,625000 ,560000 ,545000 ,H8.1.1,625000 ,560000 ,545000 ,適用なし,日
東村山市,肥沼　茂男,H27.5.19,伊藤　真一,H27.5.19,558000 ,506000 ,485000 ,H16.1.1,558000 ,506000 ,485000 ,適用なし,東
国分寺市,須﨑　宏,H27.5.22,木島　たかし,H27.5.22,540000 ,490000 ,470000 ,H5.12.1,540000 ,490000 ,470000 ,適用なし,分
国立市,中川　喜美代,H27.12.21,稗田　美菜子,H27.12.21,575000 ,515000 ,490000 ,H8.12.1,575000 ,515000 ,490000 ,適用なし,国
福生市,末次　和夫,H27.5.15,原田　剛,H27.5.15,527000 ,471000 ,447000 ,H7.4.1,527000 ,471000 ,447000 ,適用なし,福
狛江市,小川　克美,H27.5.19,田中　智子,H27.5.19,547000 ,489000 ,465000 ,H22.4.1,547000 ,489000 ,465000 ,適用なし,狛
東大和市,関田　正民,H27.5.26,中間　建二,H27.5.26,529000 ,484000 ,458000 ,H8.10.1,529000 ,484000 ,458000 ,適用なし,大
清瀬市,渋谷　のぶゆき,H27.5.21,西上　ただし,H27.5.21,570000 ,525000 ,500000 ,H28.4.1,570000 ,525000 ,500000 ,適用なし,清
東久留米市,細谷　祥子,H27.5.19,原　紀子,H27.5.19,550000 ,510000 ,480000 ,H10.10.1,522500 ,484500 ,456000 ,H27.7.1,久
武蔵村山市,高山　晃一,H27.5.15,髙橋　弘志,H27.5.15,505000 ,458000 ,435000 ,H8.4.1,505000 ,458000 ,435000 ,適用なし,村
多摩市,萩原　重治,H27.5.13,遠藤　めい子,H27.5.13,579600 ,529100 ,494500 ,H27.4.1,579600 ,529100 ,494500 ,適用なし,多
稲城市,原島　茂,H27.5.14,大久保　もりひさ,H27.5.14,498000 ,454000 ,424000 ,H15.4.1,498000 ,454000 ,424000 ,適用なし,稲
羽村市,石居　尚郎,H27.5.19,濱中　俊男,H27.5.19,520000 ,450000 ,430000 ,H7.7.1,520000 ,450000 ,430000 ,適用なし,羽
あきる野市,町田　匡志,H27.6.19,戸沢　弘征,H27.6.19,510000 ,456000 ,433000 ,H7.9.1,510000 ,456000 ,433000 ,適用なし,あ
西東京市,稲垣　裕二,H27.2.3,小峰　和美,H27.2.3,627000 ,561000 ,528000 ,H27.10.1,627000 ,561000 ,528000 ,適用なし,西
瑞穂町,髙水　永雄,H27.5.8,小山　典男,H27.5.8,420000 ,360000 ,340000 ,H7.1.1,420000 ,360000 ,340000 ,適用なし,瑞
日の出町,東　亨,H27.9.3,平野　隆史,H27.9.3,420000 ,360000 ,345000 ,H7.7.1,420000 ,360000 ,345000 ,適用なし,日
檜原村,森田　ちづよ,H27.5.11,山口　和彦,H27.5.11,325000 ,279000 ,261000 ,H18.4.1,325000 ,279000 ,261000 ,適用なし,檜
奥多摩町,須崎　眞,H27.12.1,-,-,360000 ,320000 ,300000 ,H15.12.1,360000 ,320000 ,300000 ,適用なし,奥
大島町,高橋　千香,H27.5.8,坂上　長一,H27.5.8,300000 ,220000 ,200000 ,H9.4.1,300000 ,220000 ,200000 ,適用なし,大
利島村,前田　薫,H25.10.24,寺田　優,H25.10.24,180000 ,130000 ,115000 ,H27.4.1,180000 ,130000 ,115000 ,適用なし,利
新島村,戸田　邦市,H27.2.23,清水　欣吾,H27.2.23,250000 ,190000 ,170000 ,H7.4.1,250000 ,190000 ,170000 ,適用なし,新
神津島村,松本　裕一,H27.4.29,山岸　義光,H27.4.29,240000 ,190000 ,170000 ,H7.4.1,240000 ,190000 ,170000 ,適用なし,神
三宅村,谷　寿文,H28.2.25,石井　肇,H28.2.25,250000 ,200000 ,180000 ,H8.4.1,250000 ,200000 ,180000 ,適用なし,三
御蔵島村,栗本　道雄,H27.5.1,広瀬　鹿雄,H27.5.1,140000 ,115000 ,100000 ,H18.4.1,140000 ,115000 ,100000 ,適用なし,御
八丈町,土屋　　博,H26.10.25,水野　佳子,H26.10.25,300000 ,220000 ,200000 ,H8.4.1,300000 ,220000 ,200000 ,適用なし,八
青ヶ島村,菊池　正,H25.9.12,菊池　俊幸,H25.9.12,180000 ,155000 ,140000 ,H28.4.1,180000 ,155000 ,140000 ,適用なし,青
小笠原村,池田　望,H27.4.30,杉田　一男,H27.4.30,240000 ,195000 ,176000 ,H6.10.1,240000 ,195000 ,176000 ,適用なし,小
市平均,,,,,591300 ,533000 ,503800 ,,590200 ,532000 ,502900 ,,
町村平均,,,,,277300 ,225700 ,207500 ,,277300 ,225700 ,207500 ,,
市町村平均,,,,,486600 ,430500 ,405000 ,,485900 ,429900 ,404400 ,,
