市区町村コード,市区町村名,揺れによる全壊棟数(木造),揺れによる全壊棟数(非木造),揺れによる全壊棟数(合計),揺れによる大規模半壊棟数(木造),揺れによる大規模半壊棟数(非木造),揺れによる大規模半壊棟数(合計),揺れによる半壊棟数(木造),揺れによる半壊棟数(非木造),揺れによる半壊棟数(合計),液状化による全壊棟数(木造),液状化による全壊棟数(非木造),液状化による全壊棟数(合計),液状化による大規模半壊棟数(木造),液状化による大規模半壊棟数(非木造),液状化による大規模半壊棟数(合計),液状化による半壊棟数(木造),液状化による半壊棟数(非木造),液状化による半壊棟数(合計),急傾斜地崩壊による全壊棟数(木造),急傾斜地崩壊による全壊棟数(非木造),急傾斜地崩壊による全壊棟数(合計),急傾斜地崩壊による大規模半壊棟数(木造),急傾斜地崩壊による大規模半壊棟数(非木造),急傾斜地崩壊による大規模半壊棟数(合計),急傾斜地崩壊による半壊棟数(木造),急傾斜地崩壊による半壊棟数(非木造),急傾斜地崩壊による半壊棟数(合計),建物全壊棟数(木造),建物全壊棟数(非木造),建物全壊棟数(合計),建物大規模半壊棟数(木造),建物大規模半壊棟数(非木造),建物大規模半壊棟数(合計),建物半壊棟数(木造),建物半壊棟数(非木造),建物半壊棟数(合計)
13101,千代田区,12,23,35,28,12,40,138,148,285,6,0,6,5,4,9,14,11,25,0,0,0,0,0,0,0,0,0,18,24,41,33,16,49,152,159,311
13102,中央区,99,45,144,135,21,155,580,228,808,23,0,23,21,9,29,59,24,83,0,0,0,0,0,0,0,0,0,122,45,167,156,29,185,639,252,890
13103,港区,99,72,171,150,33,182,679,357,1036,7,0,8,7,8,15,21,21,42,2,3,4,1,1,2,3,6,10,109,75,184,158,42,199,703,385,1087
13104,新宿区,55,38,94,150,21,171,824,265,1088,6,0,6,8,4,12,23,10,33,1,1,2,1,0,1,3,2,5,63,39,102,159,25,184,849,276,1126
13105,文京区,50,24,74,130,13,143,701,161,862,17,0,17,24,9,33,66,27,93,0,0,0,0,0,0,0,0,1,67,25,92,154,22,176,767,188,955
13106,台東区,709,127,836,661,54,715,2621,553,3173,64,1,65,59,24,82,165,67,231,0,0,0,0,0,0,0,0,0,773,128,901,720,77,797,2785,619,3405
13107,墨田区,1710,235,1944,1434,93,1526,5397,873,6270,53,1,54,61,17,78,170,49,219,0,0,0,0,0,0,0,0,0,1763,235,1998,1494,110,1604,5566,922,6488
13108,江東区,1598,303,1901,1323,116,1439,4998,1065,6063,42,1,43,59,32,91,165,91,256,0,0,0,0,0,0,0,0,0,1640,304,1944,1381,148,1530,5163,1155,6319
13109,品川区,1110,159,1269,1139,67,1206,4665,655,5320,18,0,19,25,10,35,71,27,98,1,0,1,0,0,0,1,1,2,1129,160,1289,1165,76,1241,4737,683,5420
13110,目黒区,663,112,776,704,48,752,3064,484,3547,5,0,5,9,4,12,25,10,35,0,0,1,0,0,0,1,1,2,668,113,781,712,52,764,3089,495,3584
13111,大田区,4896,903,5799,2658,311,2969,10179,2636,12816,236,5,240,361,113,474,1012,318,1331,2,0,2,1,0,1,3,1,4,5133,908,6041,3019,425,3444,11194,2956,14150
13112,世田谷区,2014,314,2328,2334,134,2468,10612,1338,11951,11,0,11,27,8,35,76,23,99,4,3,7,2,1,3,9,7,16,2029,318,2347,2363,143,2506,10697,1368,12065
13113,渋谷区,160,59,218,278,28,306,1307,320,1627,8,0,8,12,7,19,34,19,53,0,0,0,0,0,0,0,0,0,167,59,226,290,35,324,1341,339,1679
13114,中野区,123,30,153,289,15,304,1547,193,1739,7,0,8,12,4,16,35,11,46,0,0,0,0,0,0,0,0,0,130,30,160,301,19,320,1582,204,1785
13115,杉並区,544,82,626,934,39,973,4615,452,5067,8,0,8,17,4,21,46,11,58,0,0,0,0,0,0,0,0,0,552,82,635,951,43,994,4662,463,5125
13116,豊島区,51,21,72,150,12,161,848,156,1004,15,0,16,21,6,28,59,18,77,0,0,0,0,0,0,0,0,0,67,21,87,171,18,189,907,174,1081
13117,北区,321,42,363,508,21,530,2337,245,2582,40,1,41,56,18,74,156,50,207,1,0,1,0,0,0,1,0,2,362,43,404,565,39,604,2495,296,2791
13118,荒川区,1170,95,1266,1128,39,1168,4487,390,4877,28,0,29,37,9,47,105,26,131,0,0,0,0,0,0,0,0,0,1199,96,1294,1166,49,1214,4592,416,5008
13119,板橋区,115,42,157,251,23,274,1319,280,1600,29,1,29,50,16,66,141,44,185,1,0,1,0,0,0,1,0,2,144,43,187,301,39,340,1462,325,1786
13120,練馬区,132,35,168,349,19,368,2034,245,2279,22,0,22,45,10,55,127,29,155,0,0,0,0,0,0,0,0,0,154,36,190,394,29,423,2160,274,2434
13121,足立区,1630,213,1843,2278,92,2370,10030,951,10980,151,3,154,263,68,331,738,190,929,0,0,0,0,0,0,0,0,0,1781,216,1997,2541,160,2701,10768,1141,11909
13122,葛飾区,862,149,1011,1080,63,1143,4685,645,5330,357,7,364,651,161,812,1828,451,2279,0,0,0,0,0,0,0,0,0,1219,156,1375,1731,224,1955,6512,1096,7608
13123,江戸川区,1827,341,2167,1629,132,1761,6797,1199,7996,256,5,261,544,118,662,1527,332,1859,0,0,0,0,0,0,0,0,0,2082,346,2428,2174,250,2424,8324,1530,9855
13201,八王子市,572,96,668,883,44,927,5089,483,5572,18,0,19,46,10,55,128,27,155,33,10,43,14,5,19,76,24,100,624,107,731,943,58,1002,5292,534,5827
13202,立川市,13,8,22,44,5,49,275,67,342,1,0,1,2,1,2,5,1,7,0,0,0,0,0,0,0,0,0,14,8,22,46,5,51,281,69,349
13203,武蔵野市,45,17,62,100,9,108,555,103,658,0,0,0,1,0,1,2,1,3,0,0,0,0,0,0,0,0,0,45,17,62,101,9,109,557,103,660
13204,三鷹市,94,19,112,186,9,195,1003,107,1110,2,0,3,6,1,8,18,3,21,3,0,3,1,0,1,6,1,7,99,19,118,194,10,204,1026,112,1138
13205,青梅市,10,2,12,21,2,23,119,24,143,2,0,2,5,1,6,15,2,16,3,0,3,1,0,1,7,1,8,15,3,18,28,2,30,141,26,167
13206,府中市,99,32,131,197,15,212,1077,181,1257,4,0,5,13,3,16,37,8,44,0,0,0,0,0,0,0,0,0,104,32,136,210,18,228,1113,189,1302
13207,昭島市,9,4,13,29,3,32,182,38,220,1,0,1,3,1,4,9,2,10,0,0,0,0,0,0,0,0,0,10,4,14,32,3,36,191,40,231
13208,調布市,118,19,137,213,9,222,1131,109,1240,5,0,5,12,2,14,35,5,40,0,0,0,0,0,0,0,0,0,122,19,141,225,11,236,1166,114,1280
13209,町田市,1105,256,1361,1185,99,1284,6436,912,7348,1,0,2,5,1,6,14,3,17,12,3,15,5,1,7,26,6,33,1119,259,1378,1196,101,1297,6477,921,7398
13210,小金井市,46,13,60,94,7,100,532,78,611,1,0,1,3,1,4,8,2,10,0,0,0,0,0,0,1,0,1,47,13,61,97,7,104,541,80,622
13211,小平市,78,13,91,161,7,167,892,80,972,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,78,13,91,161,7,168,893,80,973
13212,日野市,109,36,145,190,16,206,1065,182,1247,4,0,4,12,3,15,34,8,43,3,1,4,1,0,2,7,2,9,116,37,153,203,20,223,1106,192,1298
