番号,項目,回答数（人）,回答数（％）
1,テレビ,10671,34.7
2,ラジオ,1309,4.3
3,新聞,3075,10.0
4,雑誌・書籍,460,1.5
5,広報誌・チラシ,8665,28.1
6,SNS（Instagram、Facebook、Twitter等）,5453,17.7
7,メッセージアプリ（LINE等）,2364,7.7
8,インターネット検索（Google、Yahoo等）,6458,21.0
9,動画投稿・共有サイト（YouTube等）,1237,4.0
10,スマホアプリ（情報配信アプリ・ニュースアプリ、企業公式アプリ等）,1436,4.7
11,Eメール,1630,5.3
12,口コミや人づて（家族・友人・知人から）,4928,16.0
13,AIチャットサービス（ChatGPT等）,577,1.9
14,その他,1076,3.5
全体,,30783,
