区市町村コード,区市町村,冬夕、風速8m/s、死者（計）,冬夕、風速8m/s、死者（揺れ）,冬夕、風速8m/s、死者（屋内収容物）,冬夕、風速8m/s、死者（急傾斜地崩壊）,冬夕、風速8m/s、死者（火災）,冬夕、風速8m/s、死者（ブロック塀等）,冬夕、風速8m/s、死者（屋外落下物）,冬昼、風速8m/s、死者（計）,冬昼、風速8m/s、死者（揺れ）,冬昼、風速8m/s、死者（屋内収容物）,冬昼、風速8m/s、死者（急傾斜地崩壊）,冬昼、風速8m/s、死者（火災）,冬昼、風速8m/s、死者（ブロック塀等）,冬昼、風速8m/s、死者（屋外落下物）,冬早朝、風速8m/s、死者（計）,冬早朝、風速8m/s、死者（揺れ）,冬早朝、風速8m/s、死者（屋内収容物）,冬早朝、風速8m/s、死者（急傾斜地崩壊）,冬早朝、風速8m/s、死者（火災）,冬早朝、風速8m/s、死者（ブロック塀等）,冬早朝、風速8m/s、死者（屋外落下物）,冬夕、風速4m/s、死者（計）,冬夕、風速4m/s、死者（揺れ）,冬夕、風速4m/s、死者（屋内収容物）,冬夕、風速4m/s、死者（急傾斜地崩壊）,冬夕、風速4m/s、死者（火災）,冬夕、風速4m/s、死者（ブロック塀等）,冬夕、風速4m/s、死者（屋外落下物）,冬昼、風速4m/s、死者（計）,冬昼、風速4m/s、死者（揺れ）,冬昼、風速4m/s、死者（屋内収容物）,冬昼、風速4m/s、死者（急傾斜地崩壊）,冬昼、風速4m/s、死者（火災）,冬昼、風速4m/s、死者（ブロック塀等）,冬昼、風速4m/s、死者（屋外落下物）,冬早朝、風速4m/s、死者（計）,冬早朝、風速4m/s、死者（揺れ）,冬早朝、風速4m/s、死者（屋内収容物）,冬早朝、風速4m/s、死者（急傾斜地崩壊）,冬早朝、風速4m/s、死者（火災）,冬早朝、風速4m/s、死者（ブロック塀等）,冬早朝、風速4m/s、死者（屋外落下物）
13101,千代田区,242,164,55,0,2,7,14,296,216,73,0,3,2,3,19,14,5,0,0,0,0,242,164,55,0,2,7,14,296,216,73,0,3,2,3,19,14,5,0,0,0,0
13102,中央区,275,188,67,0,4,8,8,323,231,84,0,5,2,1,96,72,24,0,0,0,0,275,188,67,0,4,8,8,323,231,84,0,5,2,1,96,72,24,0,0,0,0
13103,港区,592,411,105,0,6,61,9,644,497,128,0,6,11,2,168,132,35,0,1,0,0,592,411,105,0,6,61,9,644,497,128,0,6,11,2,168,132,35,0,1,0,0
13104,新宿区,185,82,46,0,4,53,1,166,95,56,0,3,11,0,78,52,25,0,1,0,0,185,82,46,0,4,53,1,166,95,56,0,3,11,0,78,52,25,0,1,0,0
13105,文京区,164,40,22,0,2,99,1,104,46,27,0,2,30,0,58,39,17,0,1,1,0,164,40,22,0,2,99,1,104,46,27,0,2,30,0,58,39,17,0,1,1,0
13106,台東区,247,169,18,0,4,56,1,215,176,21,0,3,14,0,196,180,15,0,1,1,0,247,169,18,0,4,56,1,215,176,21,0,3,14,0,196,180,15,0,1,1,0
13107,墨田区,578,332,42,0,103,100,1,389,306,45,0,7,30,0,478,421,47,0,5,5,0,577,332,42,0,102,100,1,389,306,45,0,7,30,0,478,421,47,0,5,5,0
13108,江東区,1244,942,100,0,85,114,2,1143,974,112,0,25,32,1,1053,949,95,0,6,3,0,1242,942,100,0,83,114,2,1142,974,112,0,24,32,1,1053,949,95,0,6,3,0
13109,品川区,736,289,70,0,188,188,1,449,299,79,0,40,31,0,382,303,60,0,17,2,0,706,289,70,0,158,188,1,441,299,79,0,32,31,0,378,303,60,0,13,2,0
13110,目黒区,354,118,32,0,106,97,0,193,109,34,0,16,33,0,219,167,39,0,10,3,0,345,118,32,0,98,97,0,191,109,34,0,14,33,0,217,167,39,0,8,3,0
13111,大田区,1354,613,85,0,473,182,0,780,575,88,0,75,41,0,1000,817,110,0,63,9,0,1293,613,85,0,412,182,0,769,575,88,0,64,41,0,989,817,110,0,53,9,0
