,2004年・自治会・町会数,2004年・加入率,2007年・自治会・町会数,2007年・加入率
八王子市,541,67.7,556,66.4
立川市,173,52.5,176,51.4
三鷹市,95,40.9,96,40
青梅市,183,57.3,178,54.4
府中市,391,66.6,394,67
昭島市,97,47,97,44.2
調布市,419,56.8,410,50
町田市,290,60,296,59
小金井市,72,46.6,73,50
小平市,373,45.5,374,44.8
日野市,250,62.9,252,60.6
東村山市,308,58.7,307,56
福生市,34,50,34,45.6
東大和市,80,44.2,78,41.3
清瀬市,188,35.5,192,39.9
東久留米市,146,44.3,148,44
武蔵村山市,57,45,55,39.8
稲城市,28,62,30,60.3
羽村市,39,52.9,39,48.8
あきる野市,88,65.6,83,61.9
