番号,項目,回答数（人）,回答数（％）,
1,割引やポイント等の特典の還元率が高いから,1568 ,73.9 ,
2,使用できるお店が多いから,1184 ,55.8 ,
3,手軽に利用できるから,1286 ,60.6 ,
4,チャージが不要だから,335 ,15.8 ,
5,使いすぎの心配がないから,118 ,5.6 ,
6,使用明細がすぐに確認できるから,281 ,13.2 ,
7,操作が分かりやすいから,151 ,7.1 ,
8,携帯1つで決済できるから,379 ,17.9 ,
9,その他,11 ,0.5 ,
全体,,2123 ,,
