,2010年,2015年,2020年,2025年,2030年,2035年,2040年,2045年,2050年
自治研推計,8980996,8737699,8643231,8568681,8305335,7847207,7250074,6744562,6308406
地方創生シナリオ(1),8994023,8787941,8473420,8195023,7748300,7086390,6278355,5563222,4893081
地方創生シナリオ(2),8994023,8787941,8473420,8195023,7825565,7311092,6742151,6345540,5980500
地方創生シナリオ(3),8994023,8787941,8652913,8544316,8342615,8027053,7689328,7575848,7542334
