,2010年,2015年,2020年,2025年,2030年,2035年,2040年,2045年,2050年,2055年,2060年,2065年,2070年,2075年,2080年,2085年,2090年,2095年,2100年
0～4,3226,3026,2736,2439,2133,1908,1927,1900,1849,1775,1704,1632,1556,1485,1420,1359,1297,1235,1173
5～9,3561,3293,3040,2702,2399,2100,2037,2045,2005,1942,1856,1777,1698,1615,1538,1466,1400,1333,1267
10～14,3736,3375,3091,2825,2511,2235,2114,2050,2056,2014,1949,1862,1782,1702,1619,1542,1470,1403,1335
15～19,3694,3517,3149,2857,2614,2328,2241,2122,2058,2063,2019,1953,1865,1784,1705,1622,1545,1472,1404
20～24,3395,3373,3187,2836,2577,2366,2313,2222,2110,2049,2050,2004,1936,1848,1769,1692,1612,1535,1464
25～29,4033,3545,3432,3198,2835,2567,2600,2502,2383,2258,2185,2172,2111,2027,1926,1839,1756,1669,1586
30～34,4762,4198,3625,3445,3197,2831,2809,2817,2682,2538,2400,2315,2289,2214,2116,2004,1908,1818,1725
35～39,6020,4857,4207,3583,3386,3141,3041,2997,2984,2821,2658,2509,2414,2379,2293,2185,2063,1960,1865
40～44,5486,6069,4833,4121,3500,3300,3342,3220,3157,3126,2938,2759,2600,2497,2453,2358,2240,2111,2002
45～49,5050,5389,5883,4634,3942,3350,3431,3463,3328,3252,3210,3005,2816,2652,2544,2495,2393,2270,2137
50～54,5256,4946,5209,5617,4423,3763,3469,3538,3561,3415,3328,3276,3059,2860,2692,2580,2526,2420,2292
55～59,6613,5054,4712,4904,5285,4172,3845,3537,3596,3613,3460,3366,3308,3081,2878,2708,2594,2537,2427
60～64,7988,6173,4679,4326,4504,4869,4152,3824,3516,3571,3588,3435,3340,3281,3054,2852,2684,2570,2513
65～69,6573,7489,6053,4936,4844,5246,4799,4094,3768,3464,3515,3532,3381,3287,3228,3003,2804,2639,2527
70～74,5213,5952,7012,5809,4642,4484,5011,4592,3922,3613,3324,3373,3392,3248,3159,3103,2888,2697,2539
75～79,4621,4423,5062,5873,4803,3855,4159,4649,4265,3650,3366,3101,3145,3169,3035,2955,2903,2703,2526
80～84,3539,3681,3656,4259,5084,4163,3385,3673,4108,3772,3238,2992,2763,2802,2830,2714,2646,2602,2425
85～89,2288,2774,3265,3644,4240,4973,5221,5149,5292,5646,5816,5744,5621,5457,5378,5354,5302,5250,5206
90歳以上,1511,1826,2149,2396,2781,3255,3419,3371,3462,3677,3766,3713,3631,3524,3467,3446,3409,3373,3343


