,2010年,2020年,2030年,2040年,2050年,2060年,2070年,2080年,2090年,2100年
ベース推計(%),20.6,25.7,28.3,33.5,36.6,37.9,39.6,41.7,43.2,44.5
出生率上昇シナリオ(%),20.6,25.2,26.6,30.2,31.3,30.6,29.9,29.9,30.7,31.7
