市区町村コード,市区町村名,揺れによる全壊棟数(木造),揺れによる全壊棟数(非木造),揺れによる全壊棟数(合計),揺れによる大規模半壊棟数(木造),揺れによる大規模半壊棟数(非木造),揺れによる大規模半壊棟数(合計),揺れによる半壊棟数(木造),揺れによる半壊棟数(非木造),揺れによる半壊棟数(合計),液状化による全壊棟数(木造),液状化による全壊棟数(非木造),液状化による全壊棟数(合計),液状化による大規模半壊棟数(木造),液状化による大規模半壊棟数(非木造),液状化による大規模半壊棟数(合計),液状化による半壊棟数(木造),液状化による半壊棟数(非木造),液状化による半壊棟数(合計),急傾斜地崩壊による全壊棟数(木造),急傾斜地崩壊による全壊棟数(非木造),急傾斜地崩壊による全壊棟数(合計),急傾斜地崩壊による大規模半壊棟数(木造),急傾斜地崩壊による大規模半壊棟数(非木造),急傾斜地崩壊による大規模半壊棟数(合計),急傾斜地崩壊による半壊棟数(木造),急傾斜地崩壊による半壊棟数(非木造),急傾斜地崩壊による半壊棟数(合計),建物全壊棟数(木造),建物全壊棟数(非木造),建物全壊棟数(合計),建物大規模半壊棟数(木造),建物大規模半壊棟数(非木造),建物大規模半壊棟数(合計),建物半壊棟数(木造),建物半壊棟数(非木造),建物半壊棟数(合計)
13101,千代田区,55,69,124,61,30,91,244,310,553,6,0,6,5,4,9,14,12,26,0,0,0,0,0,0,0,0,0,61,69,130,66,34,100,258,322,580
13102,中央区,146,71,217,155,30,185,638,307,945,23,0,24,21,9,30,59,24,83,0,0,0,0,0,0,0,0,0,169,71,241,176,39,215,697,331,1028
13103,港区,146,109,255,187,47,234,813,478,1291,7,0,8,7,8,15,21,21,42,2,3,5,1,1,2,4,7,11,156,112,268,196,56,251,838,506,1343
13104,新宿区,457,160,617,605,70,675,2623,714,3337,7,0,7,9,4,13,25,11,35,1,1,2,1,0,1,3,2,5,465,161,627,615,74,689,2651,726,3377
13105,文京区,392,102,494,466,44,510,1976,446,2422,17,0,18,24,10,34,68,27,95,0,0,0,0,0,0,1,0,1,410,102,512,490,54,544,2045,474,2519
13106,台東区,1670,293,1962,951,108,1058,3397,986,4383,68,1,69,62,25,87,174,70,245,0,0,0,0,0,0,0,0,0,1738,294,2032,1013,133,1146,3571,1056,4627
13107,墨田区,3370,443,3813,1746,155,1900,6027,1323,7351,54,1,55,61,18,79,172,49,221,0,0,0,0,0,0,0,0,0,3423,444,3867,1807,172,1979,6199,1373,7572
13108,江東区,2076,371,2447,1421,137,1558,5213,1216,6428,42,1,43,59,32,91,165,91,256,0,0,0,0,0,0,0,0,0,2118,372,2490,1480,169,1649,5378,1306,6684
13109,品川区,1473,213,1686,1197,85,1283,4673,802,5474,18,0,19,26,10,35,72,27,99,1,0,1,0,0,0,1,1,2,1492,214,1705,1223,95,1319,4746,830,5576
13110,目黒区,950,169,1119,828,69,897,3441,653,4093,5,0,5,9,4,12,25,10,35,0,1,1,0,0,0,1,1,2,955,169,1124,837,72,909,3466,664,4130
