番号,項目,回答数（人）,満足_回答数（人）,満足_回答数（％）,普通_回答数（人）,普通_回答数（％）,不満_回答数（人）,不満_回答数（％）
1,"デジタル形式のみ(n=1,783)",1783,1084,60.8,492,27.6,207,11.6
2,紙形式のみ(n=720),720,301,41.8,305,42.4,114,15.8
全体,,2503,,,,,,
