市町村名,競輪事業（千円）,競艇事業（千円）,合計（千円）Ａ,（歳入総額）（千円）,Ａ／歳入総額（%）,Ａ／税収入（%）,Ａ／基準財政需要額（%）,Ａ／標準財政規模（%）
市計,120000,670000,790000,1502931589,0.1,0.1,0.1,0.1
八王子市,10000,10000,20000,194226573,0,0,0,0
立川市,10000,－,10000,80055422,0,0,0,0
武蔵野市,10000,10000,20000,65781055,0,0.1,0.1,0.1
三鷹市,－,－,－,67635662,－,－,－,－
青梅市,10000,210000,220000,48324413,0.5,1.1,1.2,0.8
府中市,－,300000,300000,95249189,0.3,0.6,0.9,0.6
昭島市,10000,10000,20000,44643120,0,0.1,0.1,0.1
調布市,10000,10000,20000,86792698,0,0,0.1,0
町田市,10000,10000,20000,143759659,0,0,0,0
小金井市,10000,10000,20000,37998414,0.1,0.1,0.1,0.1
小平市,10000,10000,20000,61396361,0,0.1,0.1,0.1
日野市,10000,10000,20000,63101494,0,0.1,0.1,0.1
東村山市,10000,10000,20000,55665279,0,0.1,0.1,0.1
国分寺市,10000,10000,20000,40806203,0,0.1,0.1,0.1
国立市,－,－,－,28801710,－,－,－,－
福生市,－,－,－,23546526,－,－,－,－
狛江市,－,－,－,27018152,－,－,－,－
東大和市,－,－,－,30466074,－,－,－,－
清瀬市,－,－,－,29950749,－,－,－,－
東久留米市,－,－,－,38768959,－,－,－,－
武蔵村山市,－,－,－,28770358,－,－,－,－
多摩市,－,20000,20000,52005314,0,0.1,0.1,0.1
稲城市,－,20000,20000,37092369,0.1,0.1,0.2,0.1
羽村市,－,－,－,21928274,－,－,－,－
あきる野市,－,20000,20000,30618655,0.1,0.2,0.2,0.1
西東京市,－,－,－,68528907,－,－,－,－
