番号,項目,回答数（人）,還元率が低かったため_回答数（人）,還元率が低かったため_回答数（%）,それ以外_回答数（人）,それ以外_回答数（%）
1,400万円未満（n=225),225,80,35.6,145,64.4
2,400万円以上(n=711),711,180,25.3,531,74.7
全体,,936,,,,
