番号,項目,回答数（人）,回答数（％）
1,使いやすかった,245,21.4
2,やや使いやすかった,297,25.9
3,普通,436,38.0
4,やや使いにくかった,133,11.6
5,使いにくかった,35,3.1
全体,,1146,100
