,地方創生シナリオ(1)・2040年時点,地方創生シナリオ(2)・2040年時点
区中央部,41.9,49.7
区南部,44.2,50.4
区西南部,37.4,46.4
区西部,29.8,40.8
区西北部,43.6,50.7
区東北部,53.9,56.6
区東部,55.4,57.2
北多摩西部,56.5,59.3
北多摩南部,48.7,53.7
北多摩北部,56.6,60.1
南多摩,60.4,62.8
西多摩,63.4,64.8
島しょ,85.8,75.6
