,2010年,2015年,2020年,2025年,2030年,2035年,2040年,2045年,2050年
自治研推計,20.4%,23.0%,24.0%,24.6%,26.2%,28.9%,32.6%,35.5%,37.6%
地方創生シナリオ(1),20.4%,23.1%,24.8%,26.1%,28.4%,32.0%,36.7%,40.8%,44.5%
地方創生シナリオ(2),20.4%,22.9%,24.3%,25.1%,26.8%,29.3%,32.7%,35.1%,36.9%
地方創生シナリオ(3),20.4%,22.9%,23.9%,24.3%,25.3%,27.1%,29.5%,30.7%,31.2%
