番号,項目,回答数（人）,回答数（％）
1,かなり影響している,323,20.9
2,どちらかというと影響している,752,48.7
3,どちらともいえない,315,20.4
4,どちらかというと影響していない,78,5
5,影響していない,77,5
全体,,1545,100
