区分,平成26年度末現在高Ａ,Ａの内訳・１駐車場整備,Ａの内訳・２介護サービス
計 ,17712224 ,3600675 ,14111549 
千代田区,0 ,-,0 
中央区,0 ,0 ,0 
港区,280711 ,0 ,280711 
新宿区,0 ,-,0 
文京区,0 ,0 ,-
台東区,3269851 ,494046 ,2775805 
墨田区,1289658 ,-,1289658 
江東区,0 ,-,0 
品川区,433236 ,-,433236 
目黒区,558910 ,0 ,558910 
大田区,507701 ,0 ,507701 
世田谷区,1611276 ,-,1611276 
渋谷区,4234688 ,-,4234688 
中野区,0 ,0 ,-
杉並区,-,-,-
豊島区,-,-,-
北区,1225406 ,0 ,1225406 
荒川区,419250 ,-,419250 
板橋区,44912 ,-,44912 
練馬区,2021194 ,1291198 ,729996 
足立区,0 ,0 ,-
葛飾区,1815431 ,1815431 ,-
江戸川区,-,-,-
