番号,項目,回答数（人）,回答数（％）
1,デジタルのみで実施,922,30.9
2,デジタルを中心に実施（紙も少し実施）,899,30.2
3,デジタルと紙を同じ比率で実施,724,24.3
4,紙を中心に実施（デジタルも少し実施）,212,7.1
5,紙のみで実施,223,7.5
全体,,2980,100
