,1993年度,1994年度,1995年度,1996年度,1997年度,1998年度,1999年度,2000年度
全国,15466,13186,13170,13337,14366,16146,14732,13065
東京都,,,2376,2413,2560,3115,2867,2627
埼玉県,,,440,412,527,617,615,539
千葉県,,,303,347,331,408,436,388
神奈川県,,,597,590,654,717,795,698
愛知県,,,713,609,670,743,798,804
大阪府,,,2166,2036,2116,2209,2296,2073
