番号,項目,回答数（人）,回答数（％）
1,12歳未満,0,0.0
2,12歳～19歳,47,1.6
3,20歳～24歳,109,3.7
4,25歳～29歳,218,7.3
5,30歳～34歳,213,7.1
6,35歳～39歳,297,10.0
7,40歳～44歳,278,9.3
8,45歳～49歳,334,11.2
9,50歳～54歳,230,7.7
10,55歳～59歳,233,7.8
11,60歳～64歳,249,8.4
12,65歳～69歳,188,6.3
13,70歳～74歳,352,11.8
14,75歳～79歳,163,5.5
15,80歳以上,69,2.3
全体,,2980,100
