区分,特別区民税・調定額（千円）,特別区民税・収入額（千円）,特別区民税・収入歩合（%）,特別民税内訳・均等割・調定額（千円）,特別区民税内訳・均等割・収入額（千円）,特別区民税内訳・均等割・収入歩合（%）,特別区民税内訳・所得割・調定額（千円）,特別区民税内訳・所得割・収入額（千円）,特別区民税・所得割・収入歩合（%）,軽自動車税・調定額（千円）,軽自動車税・収入額（千円）,軽自動車税・収入歩合（%）,特別区たばこ税・調定額（千円）,特別区たばこ税・収入額（千円）,特別区たばこ税・収入歩合（%）,鉱産税・調定額（千円）,鉱産税・収入額（千円）,鉱産税・収入歩合（%）,法定外普通税・調定額（千円）,法定外普通税・収入額（千円）,法定外普通税・収入歩合（%）,入湯税・調定額（千円）,入湯税・収入額（千円）,入湯税・収入歩合（%）,旧法による税・調定額（千円）,旧法による税・収入額（千円）,旧法による税・収入歩合（%）,合計・調定額（千円）,合計・収入額（千円）,合計・収入歩合（%）,区分
区計,956775625,902052282,94.3,17734807,16543828,93.3,939040818,885508454,94.3,3248701,2828574,87.1,85242783,85227964,100,0,0,0,385500,385500,100,212069,212069,100,0,0,0,1045864678,990706389,94.7,
千 代 田 区,13291152,12708033,95.6,145091,138725,95.6,13146061,12569308,95.6,24046,22459,93.4,3932032,3932032,100,0,0,0,0,0,0,0,0,0,0,0,0,17247230,16662524,96.6,千
中   央   区,22190242,20537873,92.6,304706,282017,92.6,21885536,20255856,92.6,54310,47751,87.9,3186930,3186930,100,0,0,0,0,0,0,2214,2214,100,0,0,0,25433696,23774768,93.5,中
港         区,70957481,66614310,93.9,494147,463901,93.9,70463334,66150409,93.9,63948,52222,81.7,6374356,6374356,100,0,0,0,0,0,0,3096,3096,100,0,0,0,77398881,73043984,94.4,港
新   宿   区,39545768,37083504,93.8,644000,603401,93.7,38901768,36480103,93.8,94324,75799,80.4,5255734,5255734,100,0,0,0,0,0,0,0,0,0,0,0,0,44895826,42415037,94.5,新
文   京   区,29457462,28845129,97.9,408067,394961,96.8,29049395,28450168,97.9,50175,42825,85.4,1251328,1251328,100,0,0,0,0,0,0,31765,31765,100,0,0,0,30790730,30171047,98,文
台   東   区,16986174,16135028,95,368924,350237,94.9,16617250,15784791,95,61675,52428,85,3472030,3472030,100,0,0,0,0,0,0,3622,3622,100,0,0,0,20523501,19663108,95.8,台
墨   田   区,20127848,19416949,96.5,488289,471043,96.5,19639559,18945906,96.5,85050,79159,93.1,2388513,2388513,100,0,0,0,0,0,0,14678,14678,100,0,0,0,22616089,21899299,96.8,墨
江   東   区,43817173,42301867,96.5,928035,895940,96.5,42889138,41405927,96.5,139265,126350,90.7,4209424,4209424,100,0,0,0,0,0,0,80456,80456,100,0,0,0,48246318,46718097,96.8,江
品   川   区,41103394,40167715,97.7,750286,733949,97.8,40353108,39433766,97.7,101822,93101,91.4,3560136,3560136,100,0,0,0,0,0,0,0,0,0,0,0,0,44765352,43820952,97.9,品
目   黒   区,42318160,40442685,95.6,569830,544577,95.6,41748330,39898108,95.6,75334,59045,78.4,3097778,3097778,100,0,0,0,0,0,0,0,0,0,0,0,0,45491272,43599508,95.8,目
大   田   区,67969521,64829449,95.4,1396837,1331679,95.3,66572684,63497770,95.4,262415,231467,88.2,5531678,5516859,99.7,0,0,0,0,0,0,14369,14369,100,0,0,0,73777983,70592144,95.7,大
世 田 谷 区,114939247,108274908,94.2,1749576,1645779,94.1,113189671,106629129,94.2,283590,236010,83.2,4766165,4766165,100,0,0,0,0,0,0,2753,2753,100,0,0,0,119991755,113279836,94.4,世
渋   谷   区,43973109,41566489,94.5,472736,446864,94.5,43500373,41119625,94.5,72599,52682,72.6,3992223,3992223,100,0,0,0,0,0,0,0,0,0,0,0,0,48037931,45611394,94.9,渋
中   野   区,32801689,30036451,91.6,686296,628441,91.6,32115393,29408010,91.6,89665,77770,86.7,2160364,2160364,100,0,0,0,0,0,0,0,0,0,0,0,0,35051718,32274585,92.1,中
杉   並   区,60191003,57571515,95.6,1087416,1069109,98.3,59103587,56502406,95.6,155435,133327,85.8,3086702,3086702,100,0,0,0,0,0,0,12458,12458,100,0,0,0,63445598,60804002,95.8,杉
豊   島   区,27797526,26176984,94.2,552488,520278,94.2,27245038,25656706,94.2,71367,63295,88.7,3603399,3603399,100,0,0,0,385500,385500,100,0,0,0,0,0,0,31857792,30229178,94.9,豊
北        区,25340204,24065990,95,633756,601887,95,24706448,23464103,95,97581,88849,91.1,2337242,2337242,100,0,0,0,0,0,0,0,0,0,0,0,0,27775027,26492081,95.4,北
荒   川   区,15520181,14237451,91.7,397225,367534,92.5,15122956,13869917,91.7,61465,56261,91.5,1526418,1526418,100,0,0,0,0,0,0,0,0,0,0,0,0,17108064,15820130,92.5,荒
板   橋   区,42407383,39265529,92.6,1032031,960259,93,41375352,38305270,92.6,212371,183217,86.3,3823906,3823906,100,0,0,0,0,0,0,894,894,100,0,0,0,46444554,43273546,93.2,板
練   馬   区,62900151,58857950,93.6,1328310,1242950,93.6,61571841,57615000,93.6,290626,256292,88.2,3844573,3844573,100,0,0,0,0,0,0,26781,26781,100,0,0,0,67062131,62985596,93.9,練
足   立   区,44034850,39614448,90,1235351,1091056,88.3,42799499,38523392,90,401494,343313,85.5,5341708,5341708,100,0,0,0,0,0,0,0,0,0,0,0,0,49778052,45299469,91,足
葛   飾   区,30608525,28212684,92.2,818699,750142,91.6,29789826,27462542,92.2,204924,181363,88.5,3469494,3469494,100,0,0,0,0,0,0,7890,7890,100,0,0,0,34290833,31871431,92.9,葛
