区市町村コード,区市町村,都心南部、冬夕、風速8m/s,都心南部、冬昼、風速8m/s,都心南部、冬早朝、風速8m/s,都心南部、冬夕、風速4m/s,都心南部、冬昼、風速4m/s,都心南部、冬早朝、風速4m/s,多摩東部、冬夕、風速8m/s,多摩東部、冬昼、風速8m/s,多摩東部、冬早朝、風速8m/s,多摩東部、冬夕、風速4m/s,多摩東部、冬昼、風速4m/s,多摩東部、冬早朝、風速4m/s,大正関東、冬夕、風速8m/s,大正関東、冬昼、風速8m/s,大正関東、冬早朝、風速8m/s,大正関東、冬夕、風速4m/s,大正関東、冬昼、風速4m/s,大正関東、冬早朝、風速4m/s,立川断層、冬夕、風速8m/s,立川断層、冬昼、風速8m/s,立川断層、冬早朝、風速8m/s,立川断層、冬夕、風速4m/s,立川断層、冬昼、風速4m/s,立川断層、冬早朝、風速4m/s
13101,千代田区,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0
13102,中央区,0.01,0.009,0.009,0.01,0.009,0.009,0.004,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0
13103,港区,0.006,0.005,0.005,0.006,0.005,0.005,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.001,0,0,0,0,0,0
13104,新宿区,0.004,0.003,0.002,0.004,0.003,0.002,0.004,0.003,0.003,0.004,0.003,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0
13105,文京区,0.005,0.003,0.003,0.005,0.003,0.003,0.005,0.003,0.003,0.004,0.003,0.003,0.002,0.001,0.001,0.002,0.001,0.001,0,0,0,0,0,0
13106,台東区,0.014,0.01,0.009,0.013,0.01,0.009,0.01,0.009,0.008,0.01,0.009,0.008,0.005,0.004,0.004,0.005,0.004,0.004,0,0,0,0,0,0
13107,墨田区,0.104,0.027,0.023,0.103,0.027,0.022,0.05,0.02,0.017,0.05,0.02,0.017,0.014,0.01,0.008,0.013,0.01,0.008,0,0,0,0,0,0
13108,江東区,0.073,0.034,0.019,0.072,0.033,0.019,0.009,0.008,0.007,0.009,0.008,0.007,0.007,0.006,0.005,0.007,0.006,0.005,0,0,0,0,0,0
13109,品川区,0.11,0.029,0.022,0.093,0.025,0.02,0.029,0.019,0.014,0.025,0.016,0.012,0.021,0.012,0.008,0.018,0.011,0.007,0.001,0,0,0,0,0
13110,目黒区,0.081,0.021,0.016,0.075,0.019,0.015,0.028,0.014,0.011,0.026,0.013,0.01,0.016,0.008,0.006,0.015,0.008,0.005,0.001,0.001,0,0.001,0,0
13111,大田区,0.133,0.026,0.021,0.116,0.023,0.019,0.02,0.013,0.01,0.018,0.011,0.009,0.024,0.015,0.011,0.021,0.013,0.01,0,0,0,0,0,0
13112,世田谷区,0.115,0.027,0.023,0.107,0.025,0.021,0.1,0.023,0.019,0.093,0.021,0.018,0.018,0.01,0.007,0.016,0.009,0.006,0.002,0.001,0.001,0.002,0.001,0.001
13113,渋谷区,0.012,0.006,0.005,0.011,0.006,0.005,0.006,0.005,0.004,0.006,0.005,0.004,0.002,0.002,0.001,0.002,0.002,0.001,0,0,0,0,0,0
13114,中野区,0.017,0.009,0.007,0.015,0.009,0.007,0.023,0.013,0.011,0.022,0.013,0.01,0.008,0.004,0.003,0.008,0.004,0.003,0.002,0.001,0.001,0.002,0.001,0.001
13115,杉並区,0.067,0.038,0.03,0.066,0.037,0.029,0.091,0.05,0.041,0.09,0.049,0.041,0.032,0.017,0.011,0.032,0.017,0.011,0.017,0.009,0.006,0.016,0.009,0.006
13116,豊島区,0.016,0.01,0.008,0.014,0.009,0.011,0.019,0.011,0.009,0.017,0.01,0.012,0.006,0.004,0.002,0.006,0.003,0.003,0,0,0,0,0,0
13117,北区,0.014,0.009,0.008,0.014,0.009,0.008,0.011,0.008,0.007,0.011,0.007,0.007,0.003,0.002,0.001,0.003,0.002,0.001,0,0,0,0,0,0
13118,荒川区,0.063,0.021,0.019,0.061,0.02,0.018,0.032,0.019,0.017,0.031,0.018,0.016,0.008,0.006,0.005,0.008,0.006,0.005,0,0,0,0,0,0
13119,板橋区,0.011,0.007,0.006,0.01,0.007,0.025,0.015,0.009,0.007,0.014,0.008,0.032,0.004,0.002,0.001,0.004,0.002,0.007,0,0,0,0,0,0.002
13120,練馬区,0.027,0.016,0.012,0.027,0.016,0.011,0.074,0.029,0.023,0.072,0.028,0.02,0.015,0.008,0.005,0.014,0.008,0.005,0.005,0.003,0.002,0.005,0.003,0.001
13121,足立区,0.093,0.035,0.021,0.089,0.034,0.021,0.072,0.021,0.019,0.069,0.021,0.018,0.009,0.006,0.004,0.009,0.006,0.004,0.001,0,0,0.001,0,0
13122,葛飾区,0.055,0.019,0.015,0.048,0.017,0.013,0.031,0.012,0.01,0.027,0.011,0.009,0.008,0.006,0.004,0.008,0.005,0.004,0,0,0,0,0,0
13123,江戸川区,0.116,0.062,0.04,0.096,0.051,0.033,0.012,0.007,0.006,0.01,0.006,0.005,0.012,0.007,0.006,0.01,0.006,0.005,0,0,0,0,0,0
13201,八王子市,0.005,0.003,0.002,0.004,0.003,0.005,0.02,0.013,0.01,0.019,0.012,0.018,0.007,0.005,0.004,0.007,0.005,0.008,0.018,0.011,0.009,0.016,0.01,0.015
13202,立川市,0.004,0.003,0.002,0.004,0.003,0.003,0.013,0.008,0.007,0.013,0.008,0.009,0.004,0.004,0.003,0.004,0.004,0.005,0.113,0.055,0.033,0.11,0.054,0.036
13203,武蔵野市,0.023,0.014,0.01,0.023,0.014,0.011,0.057,0.023,0.018,0.056,0.022,0.019,0.013,0.008,0.005,0.013,0.008,0.005,0.01,0.006,0.004,0.01,0.006,0.004
13204,三鷹市,0.025,0.014,0.012,0.024,0.014,0.012,0.039,0.02,0.018,0.037,0.019,0.017,0.011,0.006,0.005,0.011,0.006,0.004,0.009,0.005,0.004,0.008,0.005,0.003
13205,青梅市,0.001,0.001,0.001,0.001,0.001,0,0.009,0.006,0.005,0.008,0.006,0.003,0.003,0.002,0.002,0.003,0.002,0.001,0.021,0.014,0.011,0.02,0.013,0.008
13206,府中市,0.011,0.007,0.006,0.01,0.006,0.006,0.016,0.01,0.008,0.015,0.009,0.009,0.007,0.005,0.004,0.007,0.005,0.005,0.027,0.014,0.01,0.023,0.011,0.01
13207,昭島市,0.003,0.002,0.001,0.003,0.002,0.001,0.017,0.011,0.009,0.016,0.011,0.007,0.006,0.005,0.005,0.006,0.005,0.003,0.106,0.046,0.028,0.103,0.045,0.025
13208,調布市,0.022,0.011,0.009,0.018,0.01,0.01,0.025,0.013,0.011,0.021,0.012,0.012,0.007,0.004,0.003,0.007,0.004,0.003,0.004,0.002,0.002,0.004,0.002,0.002
13209,町田市,0.008,0.005,0.004,0.007,0.005,0.007,0.024,0.01,0.009,0.022,0.009,0.013,0.011,0.006,0.005,0.01,0.006,0.008,0.003,0.002,0.001,0.003,0.002,0.002
13210,小金井市,0.019,0.011,0.008,0.019,0.011,0.008,0.054,0.022,0.019,0.053,0.022,0.017,0.013,0.008,0.006,0.013,0.008,0.006,0.025,0.01,0.008,0.025,0.01,0.007
