,2010年,2020年,2030年,2040年,2050年,2060年,2070年,2080年,2090年,2100年
ベース推計(%),60.4,54.3,52.0,49.3,48.9,49.4,48.8,47.7,46.9,46.5
定着外国人増加シナリオ(%),60.4,54.7,52.8,50.6,50.3,50.7,50.2,49.4,48.9,48.6
