団体区分,貸付額（百万円）,（利率別内訳）一般利率分（百万円）,（利率別内訳）特別利率分（百万円）
市町村組合計,19365,10314,9051
市計,17260,10149,7111
町村計,782,165,617
組合計,1323,0,1323
