X（m）,Y（m）,経度（度）,緯度（度）,津波高（最大）（m）
-63805,-194665,139.14064596,34.24322562,4.0568
-63795,-194665,139.14075452,34.24322623,4.1769
-63785,-194665,139.14086307,34.24322684,4.1623
-63565,-194665,139.14325131,34.24324031,3.9927
-63555,-194665,139.14335987,34.24324092,3.9368
-63545,-194665,139.14346842,34.24324153,3.8932
-63535,-194665,139.14357698,34.24324214,3.8313
-63525,-194665,139.14368553,34.24324275,3.7965
-63515,-194665,139.14379409,34.24324336,3.7564
-63895,-194675,139.13966969,34.24312994,3.8828
-63885,-194675,139.13977825,34.24313056,3.9288
-63875,-194675,139.13988681,34.24313117,3.9412
-63865,-194675,139.13999536,34.24313178,4.0038
-63855,-194675,139.14010392,34.24313240,3.8816
-63845,-194675,139.14021247,34.24313301,3.9450
-63535,-194675,139.14357771,34.24315199,3.7988
-63525,-194675,139.14368627,34.24315260,3.7709
-63515,-194675,139.14379483,34.24315321,3.8086
-63485,-194675,139.14412049,34.24315504,3.7547
-63215,-194675,139.14705151,34.24317148,3.4602
-63905,-194685,139.13956188,34.24303918,3.8667
-63895,-194685,139.13967043,34.24303979,3.9257
-63885,-194685,139.13977899,34.24304040,3.9402
-63875,-194685,139.13988755,34.24304102,4.1500
-63865,-194685,139.13999610,34.24304163,4.0749
-63535,-194685,139.14357845,34.24306184,3.8549
-63525,-194685,139.14368701,34.24306245,3.9160
-63515,-194685,139.14379556,34.24306306,3.8864
-63505,-194685,139.14390412,34.24306367,3.8946
-63465,-194685,139.14433834,34.24306611,3.7950
-63285,-194685,139.14629235,34.24307708,3.4840
-63215,-194685,139.14705224,34.24308133,3.4853
-63915,-194695,139.13945406,34.24294841,3.9808
-63905,-194695,139.13956262,34.24294902,3.9622
-63895,-194695,139.13967117,34.24294964,4.1836
-63885,-194695,139.13977973,34.24295025,4.1109
-63875,-194695,139.13988828,34.24295087,4.1221
-63465,-194695,139.14433908,34.24297596,3.8515
-63285,-194695,139.14629308,34.24298692,3.4852
-63925,-194705,139.13934625,34.24285764,4.0131
-63915,-194705,139.13945480,34.24285826,4.0086
-63905,-194705,139.13956336,34.24285887,4.2402
-63895,-194705,139.13967191,34.24285949,4.1109
-63885,-194705,139.13978047,34.24286010,4.0579
-63465,-194705,139.14433981,34.24288581,4.0528
-63245,-194705,139.14672804,34.24289921,3.5200
-63235,-194705,139.14683660,34.24289981,3.5219
-63945,-194715,139.13912987,34.24276626,4.0374
-63935,-194715,139.13923843,34.24276688,4.1565
-63925,-194715,139.13934699,34.24276749,4.2043
-63915,-194715,139.13945554,34.24276811,4.4547
-63905,-194715,139.13956410,34.24276872,4.1277
-63465,-194715,139.14434055,34.24279566,3.9628
-63245,-194715,139.14672877,34.24280905,3.5034
-63235,-194715,139.14683733,34.24280966,3.4971
-63965,-194725,139.13891350,34.24267488,3.7169
-63925,-194725,139.13934773,34.24267734,4.3990
-63465,-194725,139.14434128,34.24270550,3.9837
-63295,-194725,139.14618673,34.24271586,3.4603
-63245,-194725,139.14672950,34.24271890,3.4727
-63235,-194725,139.14683806,34.24271951,3.4806
-63965,-194735,139.13891424,34.24258473,3.7662
-63465,-194735,139.14434201,34.24261535,4.0140
-63455,-194735,139.14445057,34.24261596,3.9509
-63315,-194735,139.14597035,34.24262449,3.4764
-63455,-194745,139.14445130,34.24252581,3.9487
-63445,-194745,139.14455986,34.24252642,3.8993
-63435,-194745,139.14466842,34.24252703,3.9200
-63325,-194745,139.14586252,34.24253373,3.5680
-63315,-194745,139.14597108,34.24253434,3.5224
-63305,-194745,139.14607964,34.24253495,3.4202
-64075,-194755,139.13772162,34.24239766,3.6968
-64065,-194755,139.13783017,34.24239827,3.6962
-63955,-194755,139.13902428,34.24240504,3.9522
-63435,-194755,139.14466915,34.24243688,4.0506
-63425,-194755,139.14477770,34.24243749,3.9380
-63415,-194755,139.14488626,34.24243810,3.9225
