番号,項目,回答数（人）,回答数（％）
1,増加した(5%以上),895,31.5
2,ほぼ変わらない（±5%未満）,1565,55.1
3,少し減少した（5-20%未満）,272,9.6
4,かなり減少した（20%以上）,108,3.8
全体,,2840,100
