,岩手県都内避難者人数,宮城県都内避難者人数,福島県都内避難者人数,その他都内避難者人数,総数都内避難者人数
千代田区,0,5,47,0,52
中央区,2,14,25,18,59
港区,2,8,32,3,45
新宿区,2,16,89,0,107
文京区,3,7,63,3,76
台東区,2,3,37,2,44
墨田区,2,4,58,0,64
江東区,15,28,765,5,813
品川区,2,5,59,2,68
目黒区,0,9,20,4,33
大田区,4,22,148,0,174
世田谷区,21,40,174,18,253
渋谷区,2,6,22,1,31
中野区,19,64,173,7,263
杉並区,0,5,6,0,11
豊島区,13,28,103,2,146
北区,0,3,12,0,15
荒川区,3,5,43,0,51
板橋区,11,37,172,2,222
練馬区,5,33,186,2,226
足立区,10,29,293,2,334
葛飾区,3,20,135,0,158
江戸川区,19,42,267,5,333
八王子市,11,54,164,7,236
立川市,3,6,56,1,66
武蔵野市,1,10,63,1,75
三鷹市,2,11,57,0,70
青梅市,0,2,15,0,17
府中市,7,10,75,0,92
昭島市,2,11,41,0,54
調布市,2,1,40,0,43
町田市,27,61,198,11,297
小金井市,2,6,23,0,31
小平市,1,10,50,3,64
日野市,9,6,66,4,85
東村山市,3,8,29,0,40
国分寺市,5,10,38,0,53
国立市,0,5,25,0,30
福生市,6,13,39,1,59
狛江市,0,7,14,0,21
東大和市,3,8,48,0,59
清瀬市,2,6,57,5,70
東久留米市,1,4,48,1,54
武蔵村山市,0,0,16,0,16
多摩市,5,4,47,0,56
稲城市,1,14,42,0,57
羽村市,2,2,28,0,32
あきる野市,1,2,12,4,19
西東京市,3,12,95,0,110
瑞穂町,1,0,12,0,13
日の出町,0,0,6,0,6
檜原村,0,0,0,0,0
奥多摩町,0,0,0,0,0
大島町,0,0,0,0,0
利島村,0,0,0,0,0
新島村,0,0,0,0,0
神津島村,0,0,0,0,0
三宅村,0,0,0,0,0
御蔵島村,0,0,0,0,0
八丈町,0,0,0,0,0
青ヶ島村,0,0,0,0,0
小笠原村,0,0,0,0,0
合計,240,716,4333,114,5403
