平成,西暦,法人二税(億円)
元年度,1989,26801
2年度,1990,24225
3年度,1991,23979
4年度,1992,19312
5年度,1993,16254
6年度,1994,14356
7年度,1995,14464
8年度,1996,18642
9年度,1997,16973
10年度,1998,16277
11年度,1999,13958
12年度,2000,16498
13年度,2001,17699
14年度,2002,14924
15年度,2003,15146
16年度,2004,17976
17年度,2005,20938
18年度,2006,23928
19年度,2007,26163
20年度,2008,23812
21年度,2009,13523
22年度,2010,12460
23年度,2011,12339
