番号,項目,回答数（人）,以前から購入したい、購入しようと思っていたもの_回答数（人）,以前から購入したい、購入しようと思っていたもの_回答数（%）,それ以外_回答数（人）,それ以外_回答数（%）
1,30代以下（n=884),884,402,45.5,482,54.5
2,"40代以上(n=2,096)",2096,699,33.3,1397,66.7
全体,,2980,,,,
