番号,項目,回答数（人）,回答数（％）
1,10点,156,5.2
2,9点,221,7.4
3,8点,661,22.2
4,7点,656,22.0
5,6点,516,17.3
6,5点,290,9.7
7,4点,174,5.8
8,3点,174,5.8
9,2点,63,2.1
10,1点,69,2.3
全体,,2980,100
