    議員数,,,,,,（H28.4.1現在）
区市町村名,議員定数,現議員数,欠　　員　　内　　訳,,,任　期
,条例定数,,死　亡,辞　職,その他,
市町村計,780 ,774 ,3 ,1 ,2 ,
市計,649 ,645 ,2 ,1 ,1 ,
町村計,131 ,129 ,1 ,0 ,1 ,
八王子市,40 ,40 ,0 ,0 ,0 ,H31.4.30
立川市,28 ,28 ,0 ,0 ,0 ,H30.7.13
武蔵野市,26 ,26 ,0 ,0 ,0 ,H31.4.30
三鷹市,28 ,28 ,0 ,0 ,0 ,H31.4.30
青梅市,24 ,24 ,0 ,0 ,0 ,H31.4.30
府中市,30 ,29 ,0 ,0 ,1 ,H31.4.29
昭島市,22 ,22 ,0 ,0 ,0 ,H31.4.30
調布市,28 ,28 ,0 ,0 ,0 ,H31.5.31
町田市,36 ,36 ,0 ,0 ,0 ,H30.3.8
小金井市,24 ,24 ,0 ,0 ,0 ,H29.4.4
小平市,28 ,28 ,0 ,0 ,0 ,H31.4.30
日野市,24 ,24 ,0 ,0 ,0 ,H30.3.8
東村山市,25 ,24 ,0 ,1 ,0 ,H31.4.30
国分寺市,24 ,24 ,0 ,0 ,0 ,H31.4.30
国立市,22 ,22 ,0 ,0 ,0 ,H31.4.30
福生市,19 ,19 ,0 ,0 ,0 ,H31.4.30
狛江市,22 ,22 ,0 ,0 ,0 ,H31.4.30
東大和市,22 ,21 ,1 ,0 ,0 ,H31.4.30
清瀬市,20 ,20 ,0 ,0 ,0 ,H31.4.30
東久留米市,22 ,22 ,0 ,0 ,0 ,H31.4.30
武蔵村山市,20 ,20 ,0 ,0 ,0 ,H31.4.30
多摩市,26 ,25 ,1 ,0 ,0 ,H31.4.30
稲城市,22 ,22 ,0 ,0 ,0 ,H31.4.30
羽村市,18 ,18 ,0 ,0 ,0 ,H31.4.30
あきる野市,21 ,21 ,0 ,0 ,0 ,H29.6.30
西東京市,28 ,28 ,0 ,0 ,0 ,H31.1.20
瑞穂町,16 ,16 ,0 ,0 ,0 ,H31.4.30
日の出町,14 ,14 ,0 ,0 ,0 ,H31.8.31
檜原村,9 ,9 ,0 ,0 ,0 ,H31.4.30
奥多摩町,12 ,11 ,1 ,0 ,0 ,H31.11.30
大島町,14 ,14 ,0 ,0 ,0 ,H31.4.29
利島村,6 ,6 ,0 ,0 ,0 ,H28.10.23
新島村,10 ,10 ,0 ,0 ,0 ,H31.2.14
神津島村,8 ,7 ,0 ,0 ,1 ,H31.4.28
三宅村,8 ,8 ,0 ,0 ,0 ,H32.2.24
御蔵島村,6 ,6 ,0 ,0 ,0 ,H31.4.28
八丈町,14 ,14 ,0 ,0 ,0 ,H30.10.24
青ヶ島村,6 ,6 ,0 ,0 ,0 ,H29.9.5
小笠原村,8 ,8 ,0 ,0 ,0 ,H31.4.26
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
