区市町村コード,区市町村,冬夕、風速8m/s、死者（計）,冬夕、風速8m/s、死者（揺れ）,冬夕、風速8m/s、死者（屋内収容物）,冬夕、風速8m/s、死者（急傾斜地崩壊）,冬夕、風速8m/s、死者（火災）,冬夕、風速8m/s、死者（ブロック塀等）,冬夕、風速8m/s、死者（屋外落下物）,冬昼、風速8m/s、死者（計）,冬昼、風速8m/s、死者（揺れ）,冬昼、風速8m/s、死者（屋内収容物）,冬昼、風速8m/s、死者（急傾斜地崩壊）,冬昼、風速8m/s、死者（火災）,冬昼、風速8m/s、死者（ブロック塀等）,冬昼、風速8m/s、死者（屋外落下物）,冬早朝、風速8m/s、死者（計）,冬早朝、風速8m/s、死者（揺れ）,冬早朝、風速8m/s、死者（屋内収容物）,冬早朝、風速8m/s、死者（急傾斜地崩壊）,冬早朝、風速8m/s、死者（火災）,冬早朝、風速8m/s、死者（ブロック塀等）,冬早朝、風速8m/s、死者（屋外落下物）,冬夕、風速4m/s、死者（計）,冬夕、風速4m/s、死者（揺れ）,冬夕、風速4m/s、死者（屋内収容物）,冬夕、風速4m/s、死者（急傾斜地崩壊）,冬夕、風速4m/s、死者（火災）,冬夕、風速4m/s、死者（ブロック塀等）,冬夕、風速4m/s、死者（屋外落下物）,冬昼、風速4m/s、死者（計）,冬昼、風速4m/s、死者（揺れ）,冬昼、風速4m/s、死者（屋内収容物）,冬昼、風速4m/s、死者（急傾斜地崩壊）,冬昼、風速4m/s、死者（火災）,冬昼、風速4m/s、死者（ブロック塀等）,冬昼、風速4m/s、死者（屋外落下物）,冬早朝、風速4m/s、死者（計）,冬早朝、風速4m/s、死者（揺れ）,冬早朝、風速4m/s、死者（屋内収容物）,冬早朝、風速4m/s、死者（急傾斜地崩壊）,冬早朝、風速4m/s、死者（火災）,冬早朝、風速4m/s、死者（ブロック塀等）,冬早朝、風速4m/s、死者（屋外落下物）
13101,千代田区,52,46,4,0,0,1,2,65,59,5,0,0,0,0,7,7,0,0,0,0,0,52,46,4,0,0,1,2,65,59,5,0,0,0,0,7,7,0,0,0,0,0
13102,中央区,32,28,2,0,0,0,1,36,32,3,0,0,0,0,18,17,1,0,0,0,0,32,28,2,0,0,0,1,36,32,3,0,0,0,0,18,17,1,0,0,0,0
13103,港区,43,31,7,0,1,3,0,46,36,8,1,1,0,0,20,17,2,0,0,0,0,42,31,7,0,1,3,0,46,36,8,1,1,0,0,20,17,2,0,0,0,0
13104,新宿区,38,24,6,0,3,4,0,33,22,8,0,3,1,0,38,34,4,0,1,0,0,38,24,6,0,3,4,0,33,22,8,0,3,1,0,38,34,4,0,1,0,0
13105,文京区,31,17,3,0,3,8,0,23,14,4,0,2,2,0,32,29,3,0,1,0,0,31,17,3,0,3,8,0,23,14,4,0,2,2,0,32,29,3,0,1,0,0
13106,台東区,90,81,2,0,4,4,0,72,65,2,0,3,1,0,126,123,2,0,1,0,0,90,81,2,0,4,4,0,71,65,2,0,3,1,0,126,123,2,0,1,0,0
13107,墨田区,205,150,5,0,43,6,0,127,108,5,0,12,2,0,259,245,6,0,7,0,0,204,150,5,0,42,6,0,127,108,5,0,11,2,0,259,245,6,0,7,0,0
13108,江東区,125,101,13,0,6,5,0,94,75,14,0,4,1,0,171,156,12,0,2,0,0,125,101,13,0,6,5,0,94,75,14,0,4,1,0,171,156,12,0,2,0,0
13109,品川区,116,60,6,0,40,10,0,81,45,6,0,28,2,0,124,105,5,0,13,0,0,110,60,6,0,34,10,0,77,45,6,0,24,2,0,122,105,5,0,11,0,0
13110,目黒区,70,33,3,0,29,5,0,45,24,3,0,15,2,0,81,65,4,0,11,0,0,68,33,3,0,26,5,0,44,24,3,0,14,2,0,80,65,4,0,10,0,0
