,2010年,2020年,2030年,2040年,2050年,2060年,2070年,2080年,2090年,2100年
ベース推計(%),68.2,64.8,63.6,58.1,53.7,52.3,51.2,49.2,47.7,46.5
定着外国人増加シナリオ(%),68.2,65.3,64.6,60.0,56.5,55.4,54.4,53.1,52.2,51.5
