,2010年,2020年,2030年,2040年,2050年,2060年,2070年,2080年,2090年,2100年
ベース推計,52298,42917,36262,31244,29375,27837,25737,23432,21320,19415
定着外国人増加シナリオ,52298,43680,38028,33994,33021,32278,30945,29422,28039,26780
