番号,項目,回答数（人）,回答数（％）
1,かなり多く消費した（全体の70％以上）,561,24.6
2,多く消費した（全体の50％～70％未満）,722,31.7
3,消費した（全体の30％～50％未満）,728,31.9
4,"少ししか消費してない
（全体の10％～30％未満）",207,9.1
5,ほとんど消費してない（全体の10％以下）,63,2.8
全体,,2281,100
