番号,項目,回答数（人）,利用している_回答数（人）,利用している_回答数（%）,利用していない_回答数（人）,利用していない_回答数（%）
1,30代以下（n=884),884,684,77.4,200,22.6
2,"40代以上(n=2,096)",2096,1439,68.7,657,31.3
全体,,2980,,,,
