,2010年,2020年,2030年,2040年,2050年,2060年,2070年,2080年,2090年,2100年
ベース推計,2752169,2567404,2405154,2122149,1944261,1795020,1627439,1454169,1302084,1162519
定着外国人増加シナリオ,2752169,2618455,2521368,2302184,2183527,2085468,1964157,1836181,1726481,1625338
