区市町村コード,区市町村,冬夕、風速8m/s、食料（～3日目）（万食）,冬夕、風速8m/s、食料（4～7日目）（万食）,冬夕、風速8m/s、飲料水（～3日目）（万L）,冬夕、風速8m/s、飲料水（4～7日目）（万L）,冬夕、風速8m/s、毛布（必要量）（万枚）,冬昼、風速8m/s、食料（～3日目）（万食）,冬昼、風速8m/s、食料（4～7日目）（万食）,冬昼、風速8m/s、飲料水（～3日目）（万L）,冬昼、風速8m/s、飲料水（4～7日目）（万L）,冬昼、風速8m/s、毛布（必要量）（万枚）,冬早朝、風速8m/s、食料（～3日目）（万食）,冬早朝、風速8m/s、食料（4～7日目）（万食）,冬早朝、風速8m/s、飲料水（～3日目）（万L）,冬早朝、風速8m/s、飲料水（4～7日目）（万L）,冬早朝、風速8m/s、毛布（必要量）（万枚）,冬夕、風速4m/s、食料（～3日目）（万食）,冬夕、風速4m/s、食料（4～7日目）（万食）,冬夕、風速4m/s、飲料水（～3日目）（万L）,冬夕、風速4m/s、飲料水（4～7日目）（万L）,冬夕、風速4m/s、毛布（必要量）（万枚）,冬昼、風速4m/s、食料（～3日目）（万食）,冬昼、風速4m/s、食料（4～7日目）（万食）,冬昼、風速4m/s、飲料水（～3日目）（万L）,冬昼、風速4m/s、飲料水（4～7日目）（万L）,冬昼、風速4m/s、毛布（必要量）（万枚）,冬早朝、風速4m/s、食料（～3日目）（万食）,冬早朝、風速4m/s、食料（4～7日目）（万食）,冬早朝、風速4m/s、飲料水（～3日目）（万L）,冬早朝、風速4m/s、飲料水（4～7日目）（万L）,冬早朝、風速4m/s、毛布（必要量）（万枚）
13101,千代田区,1,4,2,5,1,1,4,2,5,1,1,4,2,5,1,1,4,2,5,1,1,4,2,5,1,1,4,2,5,1
13102,中央区,5,18,8,18,4,5,18,8,18,4,5,18,8,18,4,5,18,8,18,4,5,18,8,18,4,5,18,8,18,4
13103,港区,6,20,8,19,4,6,20,8,19,4,6,20,8,19,4,6,20,8,19,4,6,20,8,19,4,6,20,8,19,4
13104,新宿区,4,13,5,12,2,4,13,5,12,2,3,13,5,12,2,4,13,5,12,2,4,13,5,12,2,3,13,5,12,2
13105,文京区,3,12,5,13,2,3,12,5,13,2,3,12,5,13,2,3,12,5,13,2,3,12,5,13,2,3,12,5,13,2
13106,台東区,9,27,13,28,5,9,27,13,28,5,9,27,13,28,5,9,27,13,28,5,9,27,13,28,5,9,27,13,28,5
13107,墨田区,20,49,22,45,9,19,49,22,45,9,19,48,22,45,9,20,49,22,45,9,19,49,22,45,9,19,48,22,45,9
13108,江東区,34,89,38,80,16,34,88,38,80,16,34,88,38,80,16,34,89,38,80,16,34,88,38,80,16,34,88,38,80,16
13109,品川区,21,50,17,37,9,19,47,17,37,8,18,45,17,37,8,20,49,17,37,9,19,46,17,37,8,18,45,17,37,8
13110,目黒区,11,25,9,19,4,9,23,8,19,4,9,22,8,19,4,10,25,8,19,4,9,23,8,19,4,9,22,8,19,4
13111,大田区,52,149,84,173,28,48,144,82,173,27,47,142,82,172,27,51,148,83,173,27,48,143,82,173,27,46,142,82,172,26
13112,世田谷区,34,76,25,57,14,30,71,25,57,13,28,69,25,57,12,33,75,25,57,13,29,70,25,57,13,28,68,25,57,12
