区市町村コード,区市町村,都心南部、冬夕,都心南部、冬昼,都心南部、冬早朝,多摩東部、冬夕,多摩東部、冬昼,多摩東部、冬早朝,大正関東、冬夕,大正関東、冬昼,大正関東、冬早朝,立川断層、冬夕,立川断層、冬昼,立川断層、冬早朝
13101,千代田区,831,1092,73,696,914,61,236,310,20,0,0,0
13102,中央区,968,1192,362,383,474,137,242,299,87,0,0,0
13103,港区,1955,2368,632,623,754,203,412,499,134,0,0,0
13104,新宿区,485,571,293,561,659,343,127,153,67,0,0,0
13105,文京区,234,275,214,266,313,241,58,71,47,0,0,0
13106,台東区,707,747,737,601,634,630,259,274,270,0,0,0
13107,墨田区,1418,1328,1771,968,897,1224,504,469,633,0,0,0
13108,江東区,3948,4112,3952,1311,1346,1349,1058,1091,1078,0,0,0
13109,品川区,1359,1431,1372,741,771,773,555,577,580,0,0,0
13110,目黒区,570,543,782,340,322,473,231,218,324,0,0,0
13111,大田区,2643,2513,3510,963,897,1308,1825,1730,2432,0,0,0
13112,世田谷区,1957,1818,2841,1713,1583,2500,698,645,1019,6,6,8
13113,渋谷区,1026,1107,592,658,705,396,187,203,104,0,0,0
13114,中野区,195,183,279,303,283,433,55,54,73,0,0,0
13115,杉並区,631,544,1028,818,713,1322,168,150,265,8,7,12
13116,豊島区,297,313,350,317,337,366,42,47,41,0,0,0
13117,北区,828,756,1161,649,589,918,104,98,142,2,2,3
13118,荒川区,1252,1059,1840,1074,904,1584,289,243,427,2,2,2
13119,板橋区,653,619,856,738,699,969,79,79,99,5,5,6
13120,練馬区,415,350,617,776,676,1135,65,61,90,9,8,13
13121,足立区,3375,2886,4593,2761,2353,3766,550,478,739,2,2,3
13122,葛飾区,1239,1089,1663,973,857,1304,311,276,415,0,0,0
13123,江戸川区,2444,2241,3217,564,505,754,800,724,1062,0,0,0
13201,八王子市,131,124,161,788,775,943,216,208,262,578,563,696
13202,立川市,23,26,22,188,200,194,14,17,13,1152,1249,1159
13203,武蔵野市,123,127,130,248,263,254,38,41,38,30,32,30
13204,三鷹市,183,176,255,287,285,393,41,41,56,23,24,30
13205,青梅市,3,4,4,102,94,121,4,4,4,342,325,396
13206,府中市,219,223,259,293,301,344,59,62,69,292,299,345
13207,昭島市,7,7,7,129,126,147,7,8,7,659,658,740
13208,調布市,237,230,307,273,268,351,51,50,67,6,6,8
13209,町田市,285,269,374,570,558,729,450,436,580,26,23,37
13210,小金井市,75,78,99,182,198,226,25,28,31,61,62,80
13211,小平市,88,81,112,341,334,415,33,32,40,314,300,389
13212,日野市,79,77,95,321,325,378,58,58,69,549,560,640
13213,東村山市,21,21,27,169,159,219,5,6,7,97,90,127
13214,国分寺市,58,51,78,152,141,196,28,25,36,286,265,372
13215,国立市,24,24,31,61,64,80,8,9,10,194,207,247
13218,福生市,0,0,0,43,40,53,1,1,1,174,166,214
13219,狛江市,37,33,58,96,89,146,21,19,33,0,0,0
13220,東大和市,8,7,10,87,78,110,4,4,5,133,121,169
13221,清瀬市,22,21,28,67,67,84,2,2,2,6,6,7
13222,東久留米市,26,24,33,177,168,220,5,5,6,26,25,32
13223,武蔵村山市,2,2,3,72,69,84,2,2,2,314,311,357
13224,多摩市,54,53,61,143,148,155,46,46,51,90,91,100
13225,稲城市,54,49,71,91,84,117,27,24,37,13,11,17
13227,羽村市,0,0,0,39,37,46,0,0,0,215,216,240
13228,あきる野市,0,0,0,43,37,51,0,0,0,73,68,84
13229,西東京市,63,56,90,260,239,358,21,20,28,9,8,11
13303,瑞穂町,0,0,0,22,21,25,0,0,0,124,128,129
13305,日の出町,0,0,0,13,12,15,0,0,0,10,10,10
13307,檜原村,0,0,0,0,0,0,0,0,0,0,0,0
13308,奥多摩町,0,0,0,0,0,0,0,0,0,0,0,0
,区部合計,29429,29138,32733,18796,18185,22186,8854,8750,10150,34,34,46
,多摩合計,1822,1765,2315,5259,5182,6455,1168,1146,1455,5794,5824,6666
,都合計,31251,30903,35049,24056,23367,28641,10021,9896,11605,5829,5858,6712
