市町村名,基礎数値　人口（人）,基礎数値　従業者数（人）,按分率　人口,按分率　従業者,交付金額（千円）
区市町村計,13159417,9520835,1.0000000000,1.0000000000,211347961
区計,8945695,7902039,0.6797941733,0.8299733164,156888135
市町村計,4213722,1618796,0.3202058267,0.1700266836,54459826
市計,4127157,1570745,0.3136276478,0.1649797523,53204328
町村計,86565,48051,0.0065781790,0.0050469313,1255498
八王子市,580053,233990,0.0440789284,0.0245766259,7599903
立川市,179668,118617,0.0136531884,0.0124586762,2780462
武蔵野市,138734,90310,0.0105425643,0.0094855126,2135133
三鷹市,186083,67124,0.0141406720,0.0070502220,2364680
青梅市,139339,57236,0.0105885390,0.0060116576,1835124
府中市,255506,124322,0.0194162097,0.0130578883,3544079
昭島市,112297,49851,0.0085335847,0.0052359903,1513383
調布市,223593,81703,0.0169911023,0.0085814952,2851034
町田市,427016,142839,0.0324494619,0.0150027807,5322919
小金井市,118852,32790,0.0090317071,0.0034440257,1417144
小平市,187035,59746,0.0142130157,0.0062752899,2305414
日野市,180052,62632,0.0136823691,0.0065784146,2266631
東村山市,153557,41410,0.0116689820,0.0043494084,1822132
国分寺市,120650,37668,0.0091683393,0.0039563757,1479084
国立市,75510,29216,0.0057380961,0.0030686384,977835
福生市,59796,20264,0.0045439703,0.0021283847,747798
狛江市,78751,19469,0.0059843837,0.0020448837,918130
東大和市,83068,25413,0.0063124377,0.0026691987,1013534
清瀬市,74104,20498,0.0056312525,0.0021529624,884080
東久留米市,116546,31102,0.0088564714,0.0032667303,1379929
武蔵村山市,70053,27858,0.0053234121,0.0029260039,914130
多摩市,147648,66931,0.0112199499,0.0070299506,2002615
稲城市,84835,24616,0.0064467142,0.0025854875,1022730
羽村市,57032,27681,0.0043339306,0.0029074131,790439
あきる野市,80868,24362,0.0061452570,0.0025588092,983198
西東京市,196511,53097,0.0149331084,0.0055769268,2332788
瑞穂町,33497,21312,0.0025454775,0.0022384591,510962
日の出町,16650,8684,0.0012652536,0.0009121049,236330
檜原村,2558,1096,0.0001943855,0.0001151160,34105
奥多摩町,6045,2582,0.0004593669,0.0002711947,80526
大島町,8461,4015,0.0006429616,0.0004217067,116416
利島村,341,228,0.0000259130,0.0000239475,5301
新島村,2883,1674,0.0002190827,0.0001758249,42493
神津島村,1889,1066,0.0001435474,0.0001119650,27555
三宅村,2676,1393,0.0002033525,0.0001463107,37954
御蔵島村,348,238,0.0000264449,0.0000249978,5458
八丈町,8231,3886,0.0006254836,0.0004081575,113068
青ヶ島村,201,130,0.0000152742,0.0000136543,3082
小笠原村,2785,1747,0.0002116355,0.0001834923,42248
