番号,項目,回答数（人）,かなり多く消費した_回答数（人）,かなり多く消費した_回答数（%）,多く消費した_回答数（人）,多く消費した_回答数（%）,消費した_回答数（人）,消費した_回答数（%）,少ししか消費してない_回答数（人）,少ししか消費してない_回答数（%）,ほとんど消費してない_回答数（人）,ほとんど消費してない_回答数（%）
1,400万円未満（n=456),456,155,34,108,23.7,128,28.1,51,11.2,14,3.1
2,"400万円以上(n=1,456)",1458,329,22.6,503,34.5,463,31.8,123,8.4,40,2.7
全体,,1914,,,,,,,,,,
