番号,項目,回答数（人）,回答数（％）
1,たいへん使いやすかった,244,17.5
2,使いやすかった,501,36
3,普通,532,38.2
4,やや使いにくかった,73,5.2
5,使いにくかった,43,3.1
全体,,1393,100
