区市町村コード,区市町村,冬夕、風速8m/s、食料（～3日目）（万食）,冬夕、風速8m/s、食料（4～7日目）（万食）,冬夕、風速8m/s、飲料水（～3日目）（万L）,冬夕、風速8m/s、飲料水（4～7日目）（万L）,冬夕、風速8m/s、毛布（必要量）（万枚）,冬昼、風速8m/s、食料（～3日目）（万食）,冬昼、風速8m/s、食料（4～7日目）（万食）,冬昼、風速8m/s、飲料水（～3日目）（万L）,冬昼、風速8m/s、飲料水（4～7日目）（万L）,冬昼、風速8m/s、毛布（必要量）（万枚）,冬早朝、風速8m/s、食料（～3日目）（万食）,冬早朝、風速8m/s、食料（4～7日目）（万食）,冬早朝、風速8m/s、飲料水（～3日目）（万L）,冬早朝、風速8m/s、飲料水（4～7日目）（万L）,冬早朝、風速8m/s、毛布（必要量）（万枚）,冬夕、風速4m/s、食料（～3日目）（万食）,冬夕、風速4m/s、食料（4～7日目）（万食）,冬夕、風速4m/s、飲料水（～3日目）（万L）,冬夕、風速4m/s、飲料水（4～7日目）（万L）,冬夕、風速4m/s、毛布（必要量）（万枚）,冬昼、風速4m/s、食料（～3日目）（万食）,冬昼、風速4m/s、食料（4～7日目）（万食）,冬昼、風速4m/s、飲料水（～3日目）（万L）,冬昼、風速4m/s、飲料水（4～7日目）（万L）,冬昼、風速4m/s、毛布（必要量）（万枚）,冬早朝、風速4m/s、食料（～3日目）（万食）,冬早朝、風速4m/s、食料（4～7日目）（万食）,冬早朝、風速4m/s、飲料水（～3日目）（万L）,冬早朝、風速4m/s、飲料水（4～7日目）（万L）,冬早朝、風速4m/s、毛布（必要量）（万枚）
13101,千代田区,2,9,4,14,2,2,9,4,14,2,2,9,4,14,2,2,9,4,14,2,2,9,4,14,2,2,9,4,14,2
13102,中央区,11,35,17,53,7,11,35,17,53,7,11,35,17,53,7,11,35,17,53,7,11,35,17,53,7,11,35,17,53,7
13103,港区,12,41,19,60,8,12,41,19,60,8,12,41,19,60,8,12,41,19,60,8,12,41,19,60,8,12,41,19,60,8
13104,新宿区,10,29,11,38,5,10,29,11,38,5,10,29,11,38,5,10,29,11,38,5,10,29,11,38,5,10,29,11,38,5
13105,文京区,8,28,13,41,5,8,27,13,41,5,8,27,13,41,5,8,27,13,41,5,8,27,13,41,5,8,27,13,41,5
13106,台東区,17,47,24,68,9,16,47,23,68,9,16,47,23,68,9,17,47,24,68,9,16,47,23,68,9,16,47,23,68,9
13107,墨田区,45,94,44,104,16,34,80,39,102,14,33,79,39,102,14,45,94,43,104,16,34,80,39,102,14,33,79,39,102,14
13108,江東区,83,178,81,197,31,71,163,77,195,29,67,158,75,194,28,82,177,81,197,31,71,163,77,195,29,67,158,75,194,28
13109,品川区,49,101,34,90,17,30,75,30,88,14,29,73,30,88,13,45,95,33,90,17,30,74,30,88,13,28,72,30,88,13
13110,目黒区,26,54,18,51,9,16,41,16,50,7,15,40,16,50,7,25,53,18,51,9,16,40,16,50,7,15,40,16,50,7
13111,大田区,107,236,116,289,42,63,180,98,282,33,61,178,97,282,33,100,228,113,288,40,61,179,98,282,33,60,176,97,282,33
13112,世田谷区,101,196,58,154,34,57,135,50,151,24,55,132,50,151,24,97,191,57,154,33,56,134,50,151,24,55,131,50,151,24
13113,渋谷区,13,38,18,54,7,12,37,17,54,7,12,37,17,54,7,13,38,18,54,7,12,37,17,54,7,12,37,17,54,7
13114,中野区,11,28,10,31,5,10,26,9,31,5,10,26,9,31,5,11,28,10,31,5,10,26,9,31,5,10,26,9,31,5
13115,杉並区,40,78,19,55,13,32,66,18,54,11,29,62,18,54,11,40,78,19,55,13,31,65,18,54,11,29,62,17,54,11
13116,豊島区,13,35,14,45,6,12,34,14,45,6,11,33,14,45,6,12,34,14,45,6,12,33,14,45,6,11,33,14,45,6
13117,北区,26,64,26,78,12,25,63,26,78,11,25,63,26,78,11,26,64,26,78,12,25,63,26,78,11,25,63,26,78,11
13118,荒川区,33,69,30,73,12,29,63,28,72,11,28,63,28,72,11,33,69,30,73,12,29,63,28,72,11,28,63,28,72,11
13119,板橋区,25,67,27,86,12,23,65,27,86,12,23,65,27,86,12,24,67,27,86,12,23,65,27,86,12,23,65,27,86,12
13120,練馬区,29,60,14,46,10,24,53,14,46,9,22,51,14,46,9,28,59,14,46,10,24,53,14,46,9,22,50,14,46,9
13121,足立区,103,219,100,246,38,79,188,91,243,34,73,181,89,242,33,101,217,100,246,38,78,187,91,243,34,73,180,89,242,33
13122,葛飾区,43,122,69,193,23,34,111,65,192,21,33,110,65,192,21,41,120,68,193,22,34,110,65,192,21,33,109,64,192,21
13123,江戸川区,91,212,108,276,38,69,185,99,273,34,61,175,95,272,32,83,203,105,275,36,65,180,97,272,33,59,171,94,271,32
13201,八王子市,8,20,8,7,4,7,19,8,7,3,7,19,8,7,3,8,20,8,7,4,7,19,8,7,3,7,19,8,7,3
13202,立川市,1,4,1,1,1,1,3,1,1,1,1,3,1,1,1,1,4,1,1,1,1,3,1,1,1,1,3,1,1,1
13203,武蔵野市,6,13,6,5,2,5,12,6,5,2,4,12,6,5,2,6,13,6,5,2,5,12,6,5,2,4,12,6,5,2
13204,三鷹市,8,16,6,5,3,6,15,6,5,3,6,14,6,5,3,7,16,6,5,3,6,15,6,5,3,6,14,6,5,3
13205,青梅市,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
13206,府中市,7,18,8,8,3,7,17,8,8,3,6,17,8,8,3,7,18,8,8,3,7,17,8,8,3,6,17,8,8,3
13207,昭島市,1,2,1,1,0,1,2,1,1,0,1,2,1,1,0,1,2,1,1,0,1,2,1,1,0,1,2,1,1,0
13208,調布市,9,21,9,8,4,8,19,9,8,3,7,19,9,8,3,8,20,9,8,4,7,19,9,8,3,7,18,9,8,3
13209,町田市,10,23,9,8,4,10,22,9,8,4,9,22,9,8,4,10,23,9,8,4,10,22,9,8,4,9,22,9,8,4
13210,小金井市,4,8,3,3,1,3,7,3,3,1,3,7,3,3,1,4,8,3,3,1,3,7,3,3,1,3,7,3,3,1
13211,小平市,4,9,3,3,2,4,8,3,3,1,4,8,3,3,1,4,9,3,3,2,4,8,3,3,1,4,8,3,3,1
13212,日野市,3,8,4,4,2,3,8,4,4,2,3,8,4,4,2,3,8,4,4,2,3,8,4,4,2,3,8,4,4,2
13213,東村山市,1,4,2,2,1,1,4,2,2,1,1,4,2,2,1,1,4,2,2,1,1,4,2,2,1,1,4,2,2,1
13214,国分寺市,3,7,3,2,1,3,7,3,2,1,3,6,3,2,1,3,7,3,2,1,3,6,3,2,1,3,6,3,2,1
13215,国立市,2,4,1,1,1,1,3,1,1,1,1,3,1,1,1,1,4,1,1,1,1,3,1,1,1,1,3,1,1,1
13218,福生市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13219,狛江市,5,9,2,2,2,3,6,2,2,1,2,5,2,2,1,5,9,2,2,2,2,6,2,2,1,2,5,2,2,1
13220,東大和市,1,2,1,1,0,1,2,1,1,0,1,2,1,1,0,1,2,1,1,0,1,2,1,1,0,1,2,1,1,0
13221,清瀬市,1,3,1,1,1,1,3,1,1,1,1,3,1,1,1,1,3,1,1,1,1,3,1,1,1,1,3,1,1,1
13222,東久留米市,2,5,2,2,1,1,4,2,2,1,1,4,2,2,1,2,5,2,2,1,1,4,2,2,1,1,4,2,2,1
