種別,区市町村名,面積(km2)
区部,千代田区,11.64
区部,中央区,10.18
区部,港区,20.34
区部,新宿区,18.23
区部,文京区,11.31
区部,台東区,10.08
区部,墨田区,13.75
区部,江東区,39.99
区部,品川区,22.72
区部,目黒区,14.7
区部,大田区,60.42
区部,世田谷区,58.08
区部,渋谷区,15.11
区部,中野区,15.59
区部,杉並区,34.02
区部,豊島区,13.01
区部,北区,20.59
区部,荒川区,10.2
区部,板橋区,32.17
区部,練馬区,48.16
区部,足立区,53.2
区部,葛飾区,34.84
区部,江戸川区,49.86
その他,荒川河口部,1.15
その他,中央防波堤埋立地,3.65
市部,八王子市,186.31
市部,立川市,24.38
市部,武蔵野市,10.73
市部,三鷹市,16.5
市部,青梅市,103.26
市部,府中市,29.34
市部,昭島市,17.33
市部,調布市,21.53
市部,町田市,71.64
市部,小金井市,11.33
市部,小平市,20.46
市部,日野市,27.53
市部,東村山市,17.17
市部,国分寺市,11.48
市部,国立市,8.15
市部,福生市,10.24
市部,狛江市,6.39
市部,東大和市,13.54
市部,清瀬市,10.19
市部,東久留米市,12.92
市部,武蔵村山市,15.37
市部,多摩市,21.08
市部,稲城市,17.97
市部,羽村市,9.91
市部,あきる野市,73.34
市部,西東京市,15.85
郡部,瑞穂町,16.83
郡部,日の出町,28.08
郡部,檜原村,105.42
郡部,奥多摩町,225.63
島しょ部,大島町,91.06
島しょ部,利島村,4.12
島しょ部,新島村,27.83
島しょ部,神津島村,18.87
島しょ部,三宅村,55.5
島しょ部,御蔵島村,20.58
島しょ部,八丈町,72.62
島しょ部,青ヶ島村,5.98
島しょ部,鳥島,4.79
島しょ部,ベヨネース列岩,0
島しょ部,須美寿島,0.02
島しょ部,孀婦岩,0
島しょ部,小笠原村,104.41
