番号,項目,回答数（人）,回答数（％）
1,必ずポイント等が還元される店舗で購入している,450 ,15.1 
2,できるだけ、ポイント等が還元される店舗で購入している,1548 ,51.9 
3,どちらかというと、ポイント等が還元される店舗で購入している,602 ,20.2 
4,気にしていない,380 ,12.8 
全体,,2980 ,100.0 
