,2010年,2020年,2030年,2040年,2050年,2060年,2070年,2080年,2090年,2100年
ベース推計(%),20.2,23.2,25.3,32.1,38.0,39.8,41.1,43.3,45.1,46.7
出生率上昇シナリオ(%),20.2,22.8,24.0,29.7,33.7,33.4,32.1,31.2,30.5,30.4
